a_email	app_date	approved_date
drulapaugh@mathtouch.com	2024-10-31	2024-12-04
dstaback@warephase.com	2024-05-17	2024-09-07
dstaback@warephase.com	2024-05-21	2024-12-02
dstaback@warephase.com	2024-07-15	2024-10-23
dstaback@warephase.com	2024-08-23	2024-12-11
ebaltimore@singletechno.com	2023-10-11	2023-10-16
ebaltimore@singletechno.com	2023-11-23	2024-01-09
ebaltimore@singletechno.com	2024-05-30	2024-10-14
ebaltimore@singletechno.com	2024-06-07	2024-08-08
ebaltimore@singletechno.com	2024-12-05	2024-12-27
eburnard@mathtouch.com	2023-11-06	2024-04-16
eburnard@mathtouch.com	2023-11-17	2024-05-21
eburnard@mathtouch.com	2024-03-27	2024-04-30
eburnard@mathtouch.com	2024-04-26	2025-03-18
eburnard@mathtouch.com	2024-05-14	2024-08-07
eburnard@mathtouch.com	2024-08-08	2024-09-13
eburnard@mathtouch.com	2024-12-16	2025-01-18
ecanlas@conecom.com	2023-10-03	2023-11-29
ecanlas@conecom.com	2024-02-02	2024-05-20
ecanlas@conecom.com	2024-07-26	2024-09-05
ecanlas@conecom.com	2024-08-16	2024-08-26
ecoyier@hatfan.com	2023-11-17	2024-04-05
ecoyier@hatfan.com	2024-05-20	2024-07-08
ecoyier@hatfan.com	2024-09-30	2025-01-05
erowling@j-texon.com	2024-04-25	2025-01-21
erowling@j-texon.com	2024-07-30	2024-12-07
erowling@j-texon.com	2024-08-19	2025-03-11
erowling@j-texon.com	2024-09-11	2024-09-22
erowling@j-texon.com	2024-09-19	2024-09-22
esergi@cancity.com	2023-11-27	2024-04-13
esergi@cancity.com	2024-04-16	2024-05-10
esergi@cancity.com	2024-08-05	2024-11-24
esergi@cancity.com	2024-10-24	2025-03-30
fankeny@domzoom.com	2023-10-06	2023-10-21
fankeny@domzoom.com	2023-11-20	2023-12-16
fankeny@domzoom.com	2024-03-06	2024-06-22
fankeny@domzoom.com	2024-05-28	2024-06-26
fankeny@domzoom.com	2024-06-28	2024-07-16
fankeny@domzoom.com	2024-07-16	2024-08-27
fankeny@domzoom.com	2024-08-23	2025-02-24
fankeny@domzoom.com	2024-09-20	2025-01-20
ffelger@plusstrip.com	2023-11-28	2024-08-31
ffritz@zumgoity.com	2023-11-16	2024-02-24
ffritz@zumgoity.com	2024-01-29	2024-02-24
ffritz@zumgoity.com	2024-02-29	2024-10-05
ffritz@zumgoity.com	2024-03-18	2024-06-01
ffritz@zumgoity.com	2024-03-25	2025-02-12
ffritz@zumgoity.com	2024-04-02	2024-05-07
ffritz@zumgoity.com	2024-07-04	2025-01-13
fshinko@inity.com	2023-10-12	2024-05-01
fvarriano@mathtouch.com	2023-10-27	2023-11-13
fvarriano@mathtouch.com	2023-12-25	2024-10-28
fvarriano@mathtouch.com	2024-02-22	2024-06-12
gangalich@rundofase.com	2024-02-28	2024-06-22
gangalich@rundofase.com	2025-01-07	2025-02-01
gcousey@gogozoom.com	2024-08-21	2024-10-25
gcousey@groovestreet.com	2023-10-09	2025-02-26
gcousey@groovestreet.com	2023-11-08	2024-09-24
gcousey@groovestreet.com	2023-12-12	2025-02-05
gcousey@groovestreet.com	2023-12-21	2024-06-07
gcousey@groovestreet.com	2024-01-23	2024-09-24
gcousey@groovestreet.com	2024-02-02	2024-04-07
gcousey@groovestreet.com	2024-04-05	2024-11-06
gcousey@groovestreet.com	2024-11-06	2024-11-30
giturbide@rangreen.com	2024-12-18	2025-02-07
gjurney@rantouch.com	2023-12-05	2024-03-04
gjurney@rantouch.com	2024-04-17	2024-06-05
gjurney@rantouch.com	2024-07-17	2024-10-10
gjurney@rantouch.com	2024-09-06	2024-10-09
gjurney@rantouch.com	2024-10-10	2024-11-04
gschnitzler@ron-tech.com	2024-03-15	2024-10-16
gschnitzler@ron-tech.com	2024-07-12	2024-07-18
gschnitzler@ron-tech.com	2024-09-03	2024-09-03
hhellickson@isdom.com	2023-12-19	2024-07-23
hhellickson@isdom.com	2024-04-12	2024-12-14
hhellickson@isdom.com	2024-05-28	2024-12-26
hkardas@dambase.com	2023-11-24	2024-09-05
hkardas@dambase.com	2024-04-04	2024-06-25
hmartabano@fasehatice.com	2023-10-18	2024-06-23
hmartabano@fasehatice.com	2023-12-06	2024-05-03
hmartabano@fasehatice.com	2023-12-11	2024-07-29
hmartabano@fasehatice.com	2024-01-10	2024-12-18
hmartabano@fasehatice.com	2024-03-27	2024-10-14
hmartabano@fasehatice.com	2024-04-01	2024-10-10
hmartabano@fasehatice.com	2024-04-08	2025-03-31
hvocelka@yearin.com	2024-05-27	2024-07-05
hvocelka@yearin.com	2025-02-17	2025-02-20
imcnease@j-texon.com	2024-03-12	2024-07-26
imcnease@j-texon.com	2024-05-13	2025-02-02
imcnease@j-texon.com	2024-09-26	2025-02-09
imcnease@j-texon.com	2024-10-23	2025-03-03
jcallaro@blackzim.com	2023-11-28	2024-10-04
jkitty@nam-zim.com	2024-03-28	2024-06-10
jkitty@nam-zim.com	2024-10-25	2024-11-06
jkusko@bioplex.com	2024-02-14	2024-03-27
jkusko@bioplex.com	2024-08-13	2024-10-29
jleinenbach@singletechno.com	2024-07-18	2024-10-08
jleinenbach@singletechno.com	2024-09-12	2025-03-24
jmoyd@bioholding.com	2024-07-01	2024-08-28
jperez@groovestreet.com	2024-11-19	2025-02-04
jperez@groovestreet.com	2024-12-02	2025-01-06
jtoyama@hottechi.com	2023-11-08	2024-07-16
jtoyama@hottechi.com	2024-02-26	2024-06-09
jtoyama@hottechi.com	2024-12-31	2025-01-16
jyglesias@betasoloin.com	2023-11-24	2024-01-06
jyglesias@betasoloin.com	2024-02-27	2024-03-04
jyglesias@betasoloin.com	2024-05-20	2024-06-07
jyglesias@finjob.com	2024-01-16	2024-01-20
jyglesias@xx-zobam.com	2024-04-22	2024-06-24
jyglesias@xx-zobam.com	2024-07-02	2024-08-03
jyglesias@xx-zobam.com	2024-07-08	2024-10-28
jyglesias@xx-zobam.com	2024-10-14	2025-03-17
kagramonte@plexzap.com	2024-04-12	2024-10-20
kblackwood@kan-code.com	2023-10-20	2024-02-26
kblackwood@kan-code.com	2024-09-18	2025-01-03
kcaiafa@ganjaflex.com	2023-12-18	2023-12-19
kcaiafa@ganjaflex.com	2024-01-23	2025-03-09
kcaiafa@ganjaflex.com	2024-04-10	2024-09-07
kdemesa@scottech.com	2023-11-22	2023-12-19
kdemesa@scottech.com	2023-12-07	2023-12-27
kstockham@zoomit.com	2023-11-23	2023-12-06
kstockham@zoomit.com	2024-02-14	2024-06-22
kstockham@zoomit.com	2024-07-16	2024-08-09
kstockham@zoomit.com	2024-12-18	2025-02-23
lbatman@newex.com	2024-06-10	2025-01-16
lbatman@newex.com	2024-08-12	2025-01-06
lbatman@newex.com	2024-08-20	2025-01-21
lbiddy@toughzap.com	2023-12-04	2024-02-05
lbrachle@plexzap.com	2023-10-20	2023-11-06
lfrankel@betatech.com	2023-10-31	2024-04-06
lfrankel@betatech.com	2023-12-22	2024-12-09
lfrankel@betatech.com	2023-12-27	2024-04-26
lfrankel@betatech.com	2024-09-23	2024-10-27
lgillaspie@zencorporation.com	2023-11-09	2023-11-22
lgillaspie@zencorporation.com	2023-12-05	2024-10-13
lgillaspie@zencorporation.com	2024-01-12	2024-08-18
lgillaspie@zencorporation.com	2024-06-13	2024-10-20
lhamilton@donware.com	2024-03-20	2024-10-14
lhamilton@donware.com	2024-05-22	2024-07-15
lhamilton@donware.com	2024-06-18	2024-07-30
lhamilton@donware.com	2024-11-01	2025-02-25
lisaacs@scottech.com	2023-10-10	2023-10-14
lisaacs@scottech.com	2023-12-04	2024-02-01
lisaacs@scottech.com	2024-01-08	2024-06-13
lisaacs@scottech.com	2024-03-22	2025-02-15
lisaacs@scottech.com	2024-05-03	2025-02-20
lisaacs@scottech.com	2024-07-01	2025-01-19
lisaacs@scottech.com	2024-07-18	2024-07-18
lisaacs@scottech.com	2024-09-30	2024-12-10
lisaacs@scottech.com	2024-10-29	2025-02-05
lmallett@sonron.com	2024-01-15	2024-06-05
lmallett@sonron.com	2024-05-14	2025-02-11
lmonarrez@doncon.com	2023-12-01	2024-03-07
lmonarrez@doncon.com	2024-02-07	2024-05-17
lmonarrez@doncon.com	2024-05-07	2024-08-24
lpinilla@condax.com	2023-11-03	2024-01-23
lpinilla@condax.com	2024-04-11	2025-03-02
lthreets@singletechno.com	2024-01-09	2024-01-31
lthreets@singletechno.com	2024-02-08	2024-02-12
lworlds@hottechi.com	2023-10-10	2023-10-10
lworlds@hottechi.com	2023-11-02	2023-11-06
lworlds@hottechi.com	2024-04-24	2024-11-30
lworlds@hottechi.com	2024-07-11	2024-09-03
lworlds@hottechi.com	2024-07-31	2024-10-28
lwrinkles@streethex.com	2024-01-18	2024-01-29
lwrinkles@streethex.com	2024-04-29	2024-08-10
lwrinkles@streethex.com	2024-12-09	2025-03-19
maquas@cancity.com	2024-06-28	2024-08-22
marias@zotware.com	2023-12-13	2024-01-04
marias@zotware.com	2024-10-01	2025-01-22
marias@zotware.com	2024-11-22	2025-01-12
mchesterfield@plussunin.com	2024-01-15	2024-01-22
mchesterfield@plussunin.com	2024-10-04	2025-01-12
mclaucherty@zoomit.com	2024-05-20	2024-10-30
mclaucherty@zoomit.com	2024-12-19	2025-01-04
mcloney@xx-holding.com	2023-10-04	2024-01-15
mcloney@xx-holding.com	2025-02-07	2025-02-21
mgillaspie@cancity.com	2023-12-27	2024-07-30
mgillaspie@cancity.com	2024-01-22	2024-05-06
mmauson@zathunicon.com	2023-10-02	2023-10-31
mmauson@zathunicon.com	2023-11-23	2024-06-05
mmauson@zathunicon.com	2023-12-13	2024-04-22
mpaa@zotware.com	2023-11-10	2024-06-27
mpaa@zotware.com	2023-12-04	2024-10-09
mpaa@zotware.com	2024-02-09	2024-05-26
mpaa@zotware.com	2024-02-16	2024-04-12
mpaa@zotware.com	2024-02-20	2024-03-23
mpaa@zotware.com	2024-09-03	2025-01-27
mpalaspas@iselectrics.com	2023-11-27	2023-12-02
mpalaspas@iselectrics.com	2023-12-20	2024-01-31
mpalaspas@iselectrics.com	2023-12-25	2024-01-05
mpalaspas@iselectrics.com	2024-07-23	2024-09-20
mpalaspas@iselectrics.com	2024-10-18	2025-01-21
mpalaspas@iselectrics.com	2025-03-03	2025-03-15
mriden@finhigh.com	2023-11-07	2024-05-03
mriden@finhigh.com	2024-03-06	2025-02-18
mriden@finhigh.com	2024-03-07	2024-07-18
mriden@finhigh.com	2024-05-10	2024-11-02
mriden@finhigh.com	2024-05-15	2025-02-06
mriden@finhigh.com	2024-06-12	2025-03-28
mriden@finhigh.com	2024-10-08	2024-11-05
mvanheusen@conecom.com	2023-11-16	2024-03-27
mvanheusen@conecom.com	2023-12-21	2024-02-06
mvanheusen@conecom.com	2023-12-28	2024-07-12
mvanheusen@conecom.com	2024-01-25	2024-04-04
mvanheusen@conecom.com	2024-05-24	2024-10-18
mvanheusen@conecom.com	2024-08-15	2024-11-08
mvanheusen@conecom.com	2024-08-22	2024-09-28
mwenner@scotfind.com	2023-11-09	2023-11-25
mwenner@scotfind.com	2024-04-01	2024-10-02
mwenner@scotfind.com	2024-07-01	2024-10-04
mwenner@scotfind.com	2024-07-11	2025-01-03
mwenner@scotfind.com	2024-12-25	2025-01-31
ndelasancha@scotfind.com	2024-02-15	2024-12-12
ndelasancha@scotfind.com	2024-06-04	2024-07-11
nharnos@konex.com	2024-01-31	2024-06-10
nharnos@konex.com	2024-02-09	2024-12-27
nharnos@konex.com	2024-09-17	2024-11-04
nsuell@kinnamplus.com	2024-02-28	2024-05-01
nsuell@kinnamplus.com	2024-07-26	2024-11-01
ntagala@j-texon.com	2024-01-02	2024-10-03
ntagala@j-texon.com	2024-01-04	2024-04-22
ntagala@j-texon.com	2024-04-19	2025-03-22
ntagala@j-texon.com	2024-09-24	2025-02-07
omulqueen@donware.com	2024-04-18	2024-05-17
omulqueen@donware.com	2024-11-28	2025-01-01
pbevelacqua@iselectrics.com	2023-11-02	2023-11-26
pbevelacqua@iselectrics.com	2023-12-11	2024-02-07
pbevelacqua@iselectrics.com	2024-01-11	2024-01-19
pbevelacqua@iselectrics.com	2024-01-15	2024-08-27
pbevelacqua@iselectrics.com	2024-04-11	2025-02-10
qcantres@lexiqvolax.com	2024-03-01	2024-04-10
qcantres@lexiqvolax.com	2024-04-19	2024-06-10
qcantres@lexiqvolax.com	2024-05-21	2025-02-24
qcantres@lexiqvolax.com	2024-10-01	2025-03-21
qcantres@lexiqvolax.com	2024-10-22	2024-11-22
rhoa@iselectrics.com	2023-11-16	2023-12-07
rhoa@iselectrics.com	2023-12-12	2024-02-15
rhoa@iselectrics.com	2024-10-28	2025-03-31
rmonarrez@opentech.com	2023-11-01	2023-11-06
rmonarrez@opentech.com	2024-02-28	2024-10-06
rmonarrez@opentech.com	2024-11-12	2025-03-03
rslusarski@singletechno.com	2023-11-01	2024-08-05
rslusarski@singletechno.com	2024-07-25	2025-01-29
scloney@konmatfix.com	2023-11-02	2023-12-25
scloney@konmatfix.com	2024-02-01	2024-02-12
scloney@konmatfix.com	2024-02-22	2024-02-25
scloney@konmatfix.com	2024-04-17	2024-12-15
scloney@konmatfix.com	2024-05-22	2024-05-22
scloney@konmatfix.com	2024-08-09	2024-09-23
sfeichtner@stanredtax.com	2023-10-30	2024-04-11
sfeichtner@stanredtax.com	2023-11-06	2024-08-14
sfeichtner@stanredtax.com	2024-09-13	2024-11-15
sfeichtner@stanredtax.com	2024-11-22	2025-01-22
sfeichtner@stanredtax.com	2025-01-13	2025-01-15
sgudroe@cancity.com	2024-01-17	2024-03-31
sgudroe@cancity.com	2024-03-21	2025-01-22
sgudroe@cancity.com	2024-04-30	2024-06-09
sgudroe@cancity.com	2024-09-24	2024-11-26
sgudroe@cancity.com	2024-09-26	2024-10-03
sgudroe@cancity.com	2024-10-01	2024-11-01
sgudroe@cancity.com	2025-01-14	2025-02-14
sgudroe@cancity.com	2025-01-17	2025-01-17
sheintzman@blackzim.com	2023-12-08	2024-03-13
sheintzman@blackzim.com	2024-01-03	2025-01-02
sheintzman@blackzim.com	2024-02-15	2024-05-11
sheintzman@blackzim.com	2024-07-19	2024-08-21
sheintzman@blackzim.com	2024-08-27	2024-09-17
sheintzman@blackzim.com	2024-10-02	2025-01-24
sheintzman@blackzim.com	2024-11-26	2024-11-27
snachor@xx-holding.com	2024-06-03	2024-06-22
snachor@xx-holding.com	2024-07-17	2025-01-03
spawlowicz@warephase.com	2023-10-25	2024-10-10
spawlowicz@warephase.com	2024-07-29	2024-08-26
spawlowicz@warephase.com	2024-10-22	2025-01-06
srowling@j-texon.com	2024-01-11	2024-09-01
srowling@j-texon.com	2024-04-26	2024-10-22
ssaras@sumace.com	2023-10-25	2023-12-24
ssaras@sumace.com	2024-01-12	2024-05-17
ssaras@sumace.com	2024-04-25	2024-09-19
ssaras@sumace.com	2024-05-13	2024-10-22
ssaras@sumace.com	2024-06-21	2024-10-01
ssaras@sumace.com	2024-10-11	2025-02-14
ssaras@sumace.com	2024-11-18	2024-11-25
ssaras@sumace.com	2024-12-05	2024-12-12
sshealy@statholdings.com	2023-10-16	2023-11-25
sshealy@statholdings.com	2023-10-19	2024-03-25
sshealy@statholdings.com	2023-12-26	2024-01-14
sshealy@statholdings.com	2024-01-05	2025-01-13
sshealy@statholdings.com	2024-03-26	2025-01-03
sshealy@statholdings.com	2024-04-15	2025-03-14
tasar@stanredtax.com	2023-11-02	2025-03-21
tasar@stanredtax.com	2024-02-02	2024-06-05
tasar@stanredtax.com	2024-02-09	2024-12-29
tasar@stanredtax.com	2024-08-20	2025-02-22
tbutt@blackzim.com	2024-11-21	2024-12-06
tdelasancha@warephase.com	2024-02-19	2024-03-12
tdelasancha@warephase.com	2024-03-27	2024-09-23
tdelasancha@warephase.com	2024-04-16	2024-05-03
teroman@iselectrics.com	2024-04-18	2024-06-09
teroman@iselectrics.com	2024-10-24	2024-12-29
tfelger@j-texon.com	2024-03-07	2024-04-21
tfelger@j-texon.com	2024-05-24	2025-02-14
tfelger@j-texon.com	2024-07-04	2024-12-18
tgotter@treequote.com	2024-07-29	2025-01-02
tgotter@treequote.com	2024-11-27	2025-02-05
tharnos@donquadtech.com	2023-10-02	2023-10-07
tharnos@donquadtech.com	2023-11-13	2023-11-25
tharnos@donquadtech.com	2024-04-03	2025-01-22
thoopengardner@conecom.com	2023-10-10	2023-10-13
thoopengardner@conecom.com	2023-10-19	2023-12-25
thoopengardner@conecom.com	2023-11-06	2024-03-05
thoopengardner@conecom.com	2023-12-08	2024-05-23
tkitzman@dambase.com	2023-10-16	2024-07-16
tkitzman@dambase.com	2024-01-09	2025-03-13
tkitzman@dambase.com	2024-01-23	2024-02-12
tmirafuentes@statholdings.com	2023-10-30	2023-11-12
tmirafuentes@statholdings.com	2023-11-14	2023-12-25
tmirafuentes@statholdings.com	2024-05-16	2025-01-21
tpalaspas@hatfan.com	2024-05-03	2024-05-16
tpalaspas@hatfan.com	2024-06-19	2024-11-17
tpalaspas@hatfan.com	2024-07-24	2024-08-22
tpalaspas@hatfan.com	2024-08-14	2025-02-06
tpalaspas@hatfan.com	2024-11-08	2025-03-07
tsawchuk@condax.com	2023-12-18	2024-11-29
tsawchuk@condax.com	2024-01-22	2024-09-09
tsawchuk@condax.com	2024-02-26	2025-02-18
tsawchuk@condax.com	2024-03-29	2024-06-06
tsawchuk@condax.com	2024-06-05	2024-07-06
tsawchuk@condax.com	2024-06-20	2024-11-17
tsawchuk@condax.com	2024-08-07	2025-03-19
ttomasulo@dambase.com	2023-11-06	2024-03-30
ttomasulo@dambase.com	2023-11-15	2024-11-05
ttomasulo@dambase.com	2024-12-23	2025-02-15
vauffrey@groovestreet.com	2023-12-14	2024-02-08
vauffrey@groovestreet.com	2024-05-29	2025-01-07
vdiestel@green-plus.com	2023-11-07	2023-11-29
vdiestel@green-plus.com	2023-11-14	2024-07-09
vdiestel@green-plus.com	2023-12-27	2024-04-28
vdiestel@green-plus.com	2024-02-21	2024-09-30
vdiestel@green-plus.com	2024-09-20	2025-02-10
vkorando@rantouch.com	2024-04-30	2024-07-08
vkorando@rantouch.com	2024-06-17	2024-11-20
vkorando@rantouch.com	2024-07-24	2024-09-23
wfelger@sumace.com	2023-11-22	2024-02-23
wfelger@sumace.com	2024-05-22	2024-06-23
wfelger@sumace.com	2024-05-23	2024-08-18
wfelger@sumace.com	2024-06-06	2024-10-18
wfelger@sumace.com	2024-06-13	2024-06-15
wfelger@sumace.com	2024-06-21	2024-12-04
wfelger@sumace.com	2024-09-25	2024-12-13
wnestle@bioholding.com	2024-01-01	2024-09-21
wnestle@bioholding.com	2024-02-16	2024-12-05
wnestle@bioholding.com	2024-03-08	2025-02-07
wnestle@bioholding.com	2024-08-30	2024-10-28
wnestle@bioholding.com	2024-10-03	2024-12-27
wsimilton@xx-holding.com	2023-12-13	2025-01-16
wsimilton@xx-holding.com	2024-01-01	2024-01-03
wsimilton@xx-holding.com	2024-12-13	2024-12-28
xmcnease@groovestreet.com	2024-01-30	2024-12-05
xmcnease@groovestreet.com	2024-03-05	2024-04-27
xmcnease@groovestreet.com	2024-04-25	2024-11-17
xnunlee@gogozoom.com	2023-10-24	2023-12-16
xnunlee@gogozoom.com	2024-01-24	2025-01-21
xnunlee@gogozoom.com	2024-02-27	2025-01-07
yvonasek@yearin.com	2023-12-07	2024-10-20
yvonasek@yearin.com	2023-12-15	2023-12-30
yvonasek@yearin.com	2024-02-16	2024-08-04
