applicant_email	application_date	dog_id	adoption_date	fee
kcaiafa@ganjaflex.com	2023-12-18	40	2024-02-13	0
scloney@konmatfix.com	2024-02-22	41	2024-02-29	0
kdemesa@scottech.com	2023-11-22	42	2024-02-01	0
thoopengardner@conecom.com	2023-10-10	43	2024-03-11	0
pbevelacqua@iselectrics.com	2023-12-11	44	2024-02-15	0
mriden@finhigh.com	2023-11-07	45	2024-05-10	0
wsimilton@xx-holding.com	2024-01-01	46	2024-02-23	0
mpalaspas@iselectrics.com	2023-11-27	47	2024-02-28	0
lwrinkles@streethex.com	2024-01-18	48	2024-03-13	0
ebaltimore@singletechno.com	2023-11-23	49	2024-03-25	0
ajuhas@year-job.com	2023-11-21	50	2024-02-22	0
cgellinger@silis.com	2023-12-07	51	2024-04-22	0
tmirafuentes@statholdings.com	2023-11-14	52	2024-02-28	0
cvillanueva@isdom.com	2023-12-26	53	2024-02-27	0
lthreets@singletechno.com	2024-01-09	54	2024-03-13	0
pbevelacqua@iselectrics.com	2024-01-11	55	2024-03-27	0
kdemesa@scottech.com	2023-12-07	56	2024-03-14	0
mvanheusen@conecom.com	2023-11-16	57	2024-04-03	0
sshealy@statholdings.com	2023-10-19	58	2024-04-25	0
sgudroe@cancity.com	2024-01-17	59	2024-05-24	0
jyglesias@betasoloin.com	2024-02-27	60	2024-03-20	0
sheintzman@blackzim.com	2023-12-08	61	2024-04-01	0
vauffrey@groovestreet.com	2023-12-14	62	2024-03-22	0
asweigard@kinnamplus.com	2023-11-08	63	2024-04-09	0
yvonasek@yearin.com	2023-12-15	64	2024-04-05	0
scloney@konmatfix.com	2023-11-02	65	2024-04-15	0
bhamilton@kan-code.com	2024-02-08	66	2024-05-17	0
vdiestel@green-plus.com	2023-12-27	67	2024-05-07	0
rhoa@iselectrics.com	2023-12-12	68	2024-04-15	0
cvonasek@stanredtax.com	2023-11-24	69	2024-04-16	0
mmauson@zathunicon.com	2023-12-13	70	2024-04-29	0
cwenner@betatech.com	2024-03-05	71	2024-04-29	0
ssaras@sumace.com	2024-01-12	72	2024-06-11	0
zmyricks@isdom.com	2023-12-12	73	2024-04-30	0
blindall@gogozoom.com	2024-01-22	74	2024-05-03	0
gjurney@rantouch.com	2023-12-05	75	2024-06-06	0
eburnard@mathtouch.com	2023-11-06	76	2024-05-13	0
dhoffis@zotware.com	2024-03-25	77	2024-05-28	0
blindall@gogozoom.com	2023-10-31	78	2024-05-20	0
lthreets@singletechno.com	2024-02-08	79	2024-06-04	0
jkitty@nam-zim.com	2024-03-28	80	2024-07-25	0
sfeichtner@stanredtax.com	2023-10-30	81	2024-07-30	0
cshinko@scotfind.com	2024-04-15	82	2024-05-24	0
gcousey@groovestreet.com	2024-02-02	83	2024-05-27	0
thoopengardner@conecom.com	2023-11-06	84	2024-06-06	0
ffritz@zumgoity.com	2024-04-02	85	2024-06-24	0
chudnall@zoomit.com	2024-01-03	86	2024-06-07	0
tdelasancha@warephase.com	2024-02-19	87	2024-06-10	0
ecoyier@hatfan.com	2023-11-17	88	2024-07-16	0
scloney@konmatfix.com	2024-02-01	89	2024-06-12	0
tdelasancha@warephase.com	2024-04-16	90	2024-07-10	0
aradde@hottechi.com	2024-03-07	91	2024-07-12	0
lisaacs@scottech.com	2023-12-04	92	2024-07-23	0
mpalaspas@iselectrics.com	2023-12-20	93	2024-07-08	0
mchesterfield@plussunin.com	2024-01-15	94	2024-06-24	0
jyglesias@betasoloin.com	2024-05-20	95	2024-08-23	0
amai@openlane.com	2024-05-02	96	2024-07-02	0
bsamu@labdrill.com	2023-11-29	97	2024-07-08	0
lisaacs@scottech.com	2024-07-18	98	2024-07-24	0
fankeny@domzoom.com	2024-05-28	99	2024-07-31	0
nharnos@konex.com	2024-01-31	100	2024-07-29	0
wfelger@sumace.com	2024-05-22	101	2024-07-23	0
lisaacs@scottech.com	2024-01-08	102	2024-07-26	0
ecoyier@hatfan.com	2024-05-20	103	2024-08-22	0
nsuell@kinnamplus.com	2024-02-28	104	2024-09-16	0
ffritz@zumgoity.com	2023-11-16	105	2024-07-31	0
jcallaro@blackzim.com	2023-11-28	106	2025-01-10	0
apoullion@year-job.com	2024-04-04	107	2024-08-02	0
aradde@hottechi.com	2024-01-10	108	2024-08-05	0
cbenimadho@newex.com	2024-01-31	109	2024-08-05	0
scloney@konmatfix.com	2024-05-22	110	2024-08-05	0
tkitzman@dambase.com	2024-01-23	111	2024-08-26	0
gjurney@rantouch.com	2024-04-17	112	2024-08-14	0
hkardas@dambase.com	2023-11-24	113	2024-09-27	0
mgillaspie@cancity.com	2023-12-27	114	2024-08-12	0
darias@treequote.com	2023-10-12	115	2024-09-02	0
srowling@j-texon.com	2024-01-11	116	2024-09-09	0
lhamilton@donware.com	2024-06-18	117	2024-08-16	0
hkardas@dambase.com	2024-04-04	118	2024-08-30	0
aradde@hottechi.com	2024-05-09	119	2024-08-19	0
ttomasulo@dambase.com	2023-11-06	120	2024-08-21	0
amai@openlane.com	2024-04-11	121	2024-09-03	0
vkorando@rantouch.com	2024-07-24	122	2024-10-04	0
drulapaugh@mathtouch.com	2023-11-30	123	2024-08-30	0
ctheodorov@groovestreet.com	2024-03-12	124	2024-11-11	0
lmonarrez@doncon.com	2023-12-01	125	2024-09-11	0
ttomasulo@dambase.com	2023-11-15	126	2024-12-09	0
omulqueen@donware.com	2024-04-18	127	2024-09-23	0
asweigard@kinnamplus.com	2024-03-22	128	2024-09-26	0
cslayton@openlane.com	2023-10-25	129	2024-09-27	0
tdelasancha@warephase.com	2024-03-27	130	2024-10-15	0
gcousey@groovestreet.com	2023-12-21	131	2024-11-05	0
ssaras@sumace.com	2024-04-25	132	2024-11-19	0
fshinko@inity.com	2023-10-12	133	2024-10-08	0
cshinko@scotfind.com	2024-03-08	134	2024-11-07	0
sheintzman@blackzim.com	2024-02-15	135	2024-10-15	0
cauffrey@lexiqvolax.com	2024-08-19	136	2024-10-23	0
lgillaspie@zencorporation.com	2023-12-05	137	2024-10-25	0
tfelger@j-texon.com	2024-03-07	138	2024-10-24	0
hmartabano@fasehatice.com	2024-04-01	139	2024-10-30	0
yvonasek@yearin.com	2024-02-16	140	2025-01-15	0
cvonasek@stanredtax.com	2024-03-13	141	2024-11-21	0
sheintzman@blackzim.com	2024-08-27	142	2024-11-07	0
ffelger@plusstrip.com	2023-11-28	143	2024-11-15	0
qcantres@lexiqvolax.com	2024-04-19	144	2024-11-18	0
lgillaspie@zencorporation.com	2024-06-13	145	2024-11-14	0
mriden@finhigh.com	2024-05-10	146	2024-11-22	0
tharnos@donquadtech.com	2023-11-13	147	2024-12-25	0
cvillanueva@isdom.com	2024-07-12	148	2025-01-16	0
hmartabano@fasehatice.com	2024-03-27	149	2024-12-02	0
rslusarski@singletechno.com	2023-11-01	150	2025-01-07	0
hhellickson@isdom.com	2024-04-12	151	2024-12-23	0
gcousey@groovestreet.com	2023-11-08	152	2024-12-18	0
dstaback@warephase.com	2024-05-21	153	2024-12-24	0
wfelger@sumace.com	2024-06-21	154	2025-01-10	0
avillanueva@funholding.com	2024-09-16	155	2025-01-02	0
gschnitzler@ron-tech.com	2024-09-03	156	2024-12-18	0
snachor@xx-holding.com	2024-06-03	157	2024-12-20	0
esergi@cancity.com	2023-11-27	158	2024-12-31	0
lhamilton@donware.com	2024-03-20	159	2025-02-03	0
wfelger@sumace.com	2024-09-25	160	2025-01-06	0
jkusko@bioplex.com	2024-08-13	161	2025-01-13	0
qcantres@lexiqvolax.com	2024-03-01	162	2025-02-13	0
gcousey@groovestreet.com	2024-11-06	163	2025-01-20	0
eburnard@mathtouch.com	2024-05-14	164	2025-01-27	0
lworlds@hottechi.com	2024-07-11	165	2025-01-13	0
ffritz@zumgoity.com	2024-03-18	166	2025-01-14	0
tmirafuentes@statholdings.com	2024-05-16	167	2025-01-24	0
vdiestel@green-plus.com	2024-02-21	168	2025-01-17	0
teroman@iselectrics.com	2024-10-24	169	2025-01-17	0
kcaiafa@ganjaflex.com	2024-04-10	170	2025-01-31	0
thoopengardner@conecom.com	2023-12-08	171	2025-01-21	0
imcnease@j-texon.com	2024-03-12	172	2025-01-21	0
mvanheusen@conecom.com	2024-08-15	173	2025-01-30	0
hvocelka@yearin.com	2024-05-27	174	2025-02-20	0
ssaras@sumace.com	2024-12-05	175	2025-02-06	0
akampa@zumgoity.com	2024-01-17	176	2025-02-04	0
aradde@hottechi.com	2024-09-17	177	2025-02-10	0
ebaltimore@singletechno.com	2024-06-07	178	2025-02-05	0
mwenner@scotfind.com	2024-04-01	179	2025-02-05	0
drulapaugh@mathtouch.com	2024-02-01	180	2025-02-07	0
mpaa@zotware.com	2024-09-03	181	2025-02-12	0
tsawchuk@condax.com	2024-06-05	182	2025-02-19	0
scloney@konmatfix.com	2024-08-09	183	2025-03-06	0
ecanlas@conecom.com	2024-07-26	184	2025-03-17	0
mpaa@zotware.com	2024-02-16	185	2025-02-19	0
ajuhas@year-job.com	2024-02-12	186	2025-02-19	0
bsamu@labdrill.com	2024-09-13	188	2025-02-26	0
tpalaspas@hatfan.com	2024-07-24	189	2025-02-26	0
asweigard@kinnamplus.com	2024-05-07	192	2025-03-24	0
rmonarrez@opentech.com	2024-11-12	195	2025-03-14	0
cslayton@openlane.com	2024-06-25	196	2025-03-20	0
sheintzman@blackzim.com	2024-11-26	198	2025-03-20	0
tasar@stanredtax.com	2024-08-20	199	2025-03-27	0
jyglesias@xx-zobam.com	2024-04-22	202	2025-03-28	0
mclaucherty@zoomit.com	2024-05-20	203	2025-03-28	0
jleinenbach@singletechno.com	2024-09-12	204	2025-03-31	0
