dog_name	sex	alt_status	local_control	surrender_date	surrender_phone	description	age_months	email
Athena	Female	1	1	2024-04-10	7587678111	Meet a handsome black Lab mix who's almost 5 years old	237	smadarang@zotware.com
Henry	Male	1	0	2024-04-11		Handsome and elegant - that's how they describe him; was found as a str	70	fperigo@condax.com
Benny	Male	1	0	2024-04-12	4178881653		199	cfallick@zoomit.com
Oreo	Male	1	0	2024-04-12	6314918037	is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	255	cfallick@zoomit.com
Coco	Female	1	0	2024-04-15	6596215803	was rescued from a parking lot, very malnourished and scared. Rescuer got him healthy and re	106	bkarpel@plexzap.com
Dexter	Male	1	0	2024-04-19	1285927582	is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen	14	adinos@ganjaflex.com
Chico	Male	1	0	2024-04-25			100	atawil@golddex.com
Jake	Male	1	0	2024-04-29		is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	65	shalter@treequote.com
Jax	Male	1	0	2024-05-02	5207998909		113	mdiestel@hatfan.com
Max	Male	1	0	2024-05-08	1252658431	is a PRECIOUS little man!  He's so sweet and snuggly!   gets along w	140	alabreche@konex.com
Riley	Female	1	0	2024-05-10			23	kyum@goodsilron.com
Honey	Female	1	0	2024-05-14	1917333242	was a service dog for an elderly man who recently passed away. Now this boy needs a new home	164	mdiestel@hatfan.com
Bentley	Male	1	1	2024-05-15	8438716284	This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	55	lstaback@conecom.com
Bentley	Male	1	1	2024-05-17	7231970417	is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o	84	mrowling@finhigh.com
Dexter	Male	1	0	2024-05-20	5634545527		5	tcastros@hatfan.com
Murphy	Male	1	0	2024-05-22	1263484754	has the floppiest ears and the saddest eyes, but	226	cfallick@zoomit.com
Sandy	Female	1	0	2024-05-22	1688633235	is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who	43	ebayless@streethex.com
Maya	Female	1	0	2024-05-24		This gorgeous boy is a Saint Bernard mix. He is	19	execdir@burdell.com
Oreo	Male	1	1	2024-05-30	948588407	is a loving, young, playful bundle of joy & energy who would love to find herself	50	alabreche@konex.com
Trixie	Female	1	0	2024-06-05	9176995551	is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	200	mdiestel@hatfan.com
Raven	Unknown	1	0	2024-06-06	9311265900	is a super sweet boxer/dane mix!  He came from a rural animal contro	129	adinos@ganjaflex.com
Diesel	Male	1	0	2024-06-07	6545393058		96	mrowling@finhigh.com
Henry	Male	1	0	2024-06-10	1237969207		163	bkarpel@plexzap.com
Joey	Male	1	0	2024-06-11			71	alabreche@konex.com
Winnie	Female	1	0	2024-06-12	851955222	is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	29	asturiale@hottechi.com
Spooky	Unknown	1	0	2024-06-13	1517859554		19	fperigo@condax.com
Hunter	Male	1	0	2024-06-17	5487152150	is in foster and here's what her foster has to say: Meet the most lovable, frie	102	ahoa@j-texon.com
Minnie	Female	1	0	2024-06-19	9774792828		144	kscriven@betasoloin.com
Zoey	Unknown	1	0	2024-06-21	7649815235	was saved from his terrible living conditions by a good Samaritan.  lived his entire life i	103	skalafatis@xx-holding.com
Willow	Female	1	0	2024-06-27		is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	19	bkarpel@plexzap.com
Kobe	Unknown	1	0	2024-07-01	1891619148	will require someone patient and skilled. He is very timid, but gentle. He is not	50	ljillson@rangreen.com
Hank	Male	1	0	2024-07-04	716159467	is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	21	fscheyer@cancity.com
Lady	Unknown	1	0	2024-07-05		is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who	148	asturiale@hottechi.com
Boomer	Male	1	1	2024-07-15	1136743295	 When their dad passed away in a tragic accident, he and his "sister"  	59	execdir@burdell.com
Maddie	Female	1	1	2024-07-17	4237295555	was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi	5	kyum@goodsilron.com
Bear	Unknown	1	0	2024-07-18		wandered over to one of our volunteer's yards last January and she just cou	30	alabreche@konex.com
Gunner	Male	1	0	2024-07-25	7675283312		184	mdiestel@hatfan.com
Oliver	Male	1	0	2024-07-26	5990882480	is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	180	mdiestel@hatfan.com
Mia	Female	1	0	2024-07-30		has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned	34	ahoa@j-texon.com
Jasper	Male	1	0	2024-07-30	8298443903	Meet a handsome black Lab mix who's almost 5 years old	103	ljillson@rangreen.com
Casey	Female	1	0	2024-07-31	7481249647	a fun-loving energetic gir	97	alabreche@konex.com
Oreo	Male	1	0	2024-08-01	5306618842		52	tcastros@hatfan.com
Bailey	Male	1	0	2024-08-01	8765857702	is a sweet girl who was separated from her litter after having to have a lifesaving blood tr	47	fscheyer@cancity.com
Dakota	Female	1	0	2024-08-02	9787416701	is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	12	mhagele@finjob.com
Gizmo	Male	1	0	2024-08-02	8239922395	 When their dad passed away in a tragic accident, he and his "sister"  	9	atawil@golddex.com
Cali	Female	1	1	2024-08-06	2172297799	came to rescue in a starved state. Despite this, she has so much love to give. She g	9	kyum@goodsilron.com
Max	Male	1	0	2024-08-07	3559025306	is a sweetie pie! He's very laid back and gentle with people. He walks well on	39	execdir@burdell.com
Blue	Male	1	0	2024-08-08	5658811522	I came from a shelter that euthanizes over a hundred animals a week. I turned on	38	asturiale@hottechi.com
Milo	Male	1	0	2024-08-09	3807333633		1	execdir@burdell.com
Peanut	Unknown	1	0	2024-08-13	5843162671		9	ljillson@rangreen.com
Bailey	Female	1	0	2024-08-15	6122532609	has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned	159	execdir@burdell.com
Bo	Male	1	0	2024-08-15	6194816577	a fun-loving energetic gir	38	mhagele@finjob.com
Bentley	Male	1	0	2024-08-16	2908104863	was rescued from a parking lot, very malnourished and scared. Rescuer got him healthy and re	59	lstaback@conecom.com
Maddie	Female	1	0	2024-08-16	6298831837	Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	257	mhagele@finjob.com
Garfield	Unknown	1	0	2024-08-20	4570617644	was found with bite wounds that were infected. He is all recovered and a sweet boy. Bandit&	110	skalafatis@xx-holding.com
Allie	Female	1	0	2024-08-22	6782003864	Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	43	kscriven@betasoloin.com
Henry	Male	1	0	2024-08-26	6404187029	Meet a very sweet natured young pup. She is a Parvo survivor~ having spent a week	21	ahoa@j-texon.com
Maggie	Female	1	0	2024-08-29	9775157216		165	mrowling@finhigh.com
Piper	Unknown	1	1	2024-09-06	4901874121	 If you're looking for a "no brainer", check out this girl. She is a really E	154	adinos@ganjaflex.com
Tabby	Unknown	1	0	2024-09-10	9960277111	a Boxer mix puppy who will be arriving at 11th Hour Rescue. Bill	74	bstimmel@hatfan.com
Jake	Male	1	0	2024-09-10	2658000075	LOVES toys and has been entertaining himself in his run. But it's so much nicer to see	78	asturiale@hottechi.com
Brody	Male	1	0	2024-09-20	380991498	is a 3 year old Lab mix who loves people.  She is currently living with 2 children	153	asturiale@hottechi.com
Bubba	Male	1	0	2024-09-23	4113944012	From his foster mom: is an 8-month-old, 43 pound, Black Lab who spent his firs	244	kbenimadho@newex.com
Dante	Unknown	1	1	2024-09-26	2941154438		116	adinos@ganjaflex.com
Bailey	Female	1	0	2024-10-01	118361779	was found in rural Texas all alone outside of a residence one cold January nigh	80	mdiestel@hatfan.com
Bubba	Male	1	0	2024-10-03	6901239459	was being given away for free on a neighborhood site in Texas because a child in the home w	106	ahoa@j-texon.com
Macy	Female	1	0	2024-10-03	5222533336	This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	92	mrowling@finhigh.com
Socks	Unknown	1	1	2024-10-07	1131502113	is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	8	fperigo@condax.com
Marley	Female	1	0	2024-10-10	4724260406	was homeless and roaming the streets which eventually led to his being picked-up	47	shalter@treequote.com
Leo	Male	1	0	2024-10-14	4658352036		10	spawlowicz@donware.com
Missy	Female	1	1	2024-10-22	7618047809	a beautiful Hound mix, 7 years old, and weighing 43 pounds.	252	ljillson@rangreen.com
Katie	Female	1	0	2024-10-22	8979195195	Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	25	bkarpel@plexzap.com
Madison	Female	1	0	2024-10-23	2442248268	was dumped at a mailbox in rural Texas; is a sweet shy girl  w	86	smadarang@zotware.com
Sierra	Female	1	1	2024-10-25	2392655702	is a sweet girl who would love to be in a new home for the holidays! She is 3 years old	77	smadarang@zotware.com
Grace	Female	1	0	2024-10-28	6365140350	loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha	31	cfallick@zoomit.com
Josie	Female	1	1	2024-11-01	404711029		118	mrowling@finhigh.com
Buster	Male	1	0	2024-11-06	3361411794	she was being given away in the back of a gas station in a rural Texas town when one of our	19	asturiale@hottechi.com
Brandy	Female	1	0	2024-11-07	2170249372	This adorable boy is Tango Barnwell.  He wou	216	asturiale@hottechi.com
Bo	Male	1	0	2024-11-13	2553286114		126	ahoa@j-texon.com
Max	Unknown	1	0	2024-11-13	2522283917	was surrendered to us because his elderly owner was no longer able to care for h	59	kyum@goodsilron.com
Sadie	Female	1	0	2024-11-14	9950530607	was dumped at a mailbox in rural Texas; is a sweet shy girl  w	9	bstimmel@hatfan.com
Marley	Male	1	1	2024-11-15	2953839888	a German Shepherd Mix.  I'm a bit timid at first, but once I get	113	skalafatis@xx-holding.com
Apollo	Male	1	0	2024-11-22		enjoys car rides and loves playing alon	64	bstimmel@hatfan.com
Lady	Female	1	0	2024-11-25	9522859006	This beautiful girl found herself homeless just before the holidays and no	133	shalter@treequote.com
Sophie	Female	1	0	2024-12-06	812627277		92	execdir@burdell.com
Chico	Male	1	0	2024-12-10	7903619325	Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	63	fscheyer@cancity.com
Zoey	Female	1	0	2024-12-11	789872028		266	fperigo@condax.com
Baby	Unknown	1	0	2024-12-13	1628777738		32	bstimmel@hatfan.com
Chloe	Female	1	0	2024-12-13	1144780694	Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted	142	fperigo@condax.com
Max	Male	1	0	2024-12-17	4897907159	was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon	150	kyum@goodsilron.com
Mimi	Female	1	1	2024-12-17	8144526342	was a service dog for an elderly man who recently passed away. Now this boy needs a new home	262	alabreche@konex.com
Baxter	Male	1	0	2024-12-18	1298124314	is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou	91	shalter@treequote.com
Sadie	Female	1	0	2024-12-30	1950631264		27	cfallick@zoomit.com
Trixie	Female	1	0	2025-01-02	2715518166	was adopted as a puppy and recently returned after 2 y	115	bkarpel@plexzap.com
Lulu	Female	1	0	2025-01-03	9995099910	is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	14	ebayless@streethex.com
Cash	Male	1	0	2025-01-03	3190204569	We don't know what happened to him before he arrived	67	mrowling@finhigh.com
Louie	Male	1	0	2025-01-06	1591287936	is one of the most beautiful dogs you will ever meet.  She has a beautiful grey shiny	53	kbenimadho@newex.com
Marley	Male	1	0	2025-01-07	5289507003		80	alabreche@konex.com
Jasper	Male	1	0	2025-01-07	3559284930	We are looking for a home for our dog . He was born in December of 2015	28	mdiestel@hatfan.com
Henry	Male	1	0	2025-01-10	4414129817	Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	90	execdir@burdell.com
Jack	Male	1	0	2025-01-13	2677689195	a Boxer mix puppy who will be arriving at 11th Hour Rescue. Bill	23	spawlowicz@donware.com
Bella	Female	1	0	2025-01-15	465412833	We are looking for a home for our dog . He was born in December of 2015	42	mrowling@finhigh.com
Marley	Male	1	0	2025-01-16	2995456514	is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	46	asturiale@hottechi.com
Holly	Female	1	0	2025-01-16		is a loving, snuggly girl who loves long walks and going for car rides but she's als	199	cfallick@zoomit.com
Macy	Unknown	1	0	2025-01-17	2883904552	is an energetic little fellow who loves exploring the outdoors, taking walks and even	255	ahoa@j-texon.com
Heidi	Female	1	1	2025-01-20	5739067359	We don't know what happened to him before he arrived	31	kscriven@betasoloin.com
Chase	Male	1	0	2025-01-20	2745182088	a big scruffy pup and devoted friend to those he trusts.  But trust takes tim	42	atawil@golddex.com
Frankie	Male	1	0	2025-01-29	3832336693	 When their dad passed away in a tragic accident, he and his "sister"  	120	mrowling@finhigh.com
Dixie	Female	1	0	2025-02-03		is in foster and here's what her foster has to say: Meet the most lovable, frie	29	fperigo@condax.com
Bella	Unknown	1	0	2025-02-03		is a senior boy, 11-12 years old, the life he led before being rescued was filled	127	kyum@goodsilron.com
Hazel	Female	1	0	2025-02-03	1954371942		98	bstimmel@hatfan.com
Lucky	Male	1	0	2025-02-04	3642071656	was a service dog for an elderly man who recently passed away. Now this boy needs a new home	78	adinos@ganjaflex.com
Sally	Female	1	0	2025-02-04	2762998195	is a 1 year old Terrier mix! He is walks well on a leash and loves affection. He would prefer	50	ddegonia@finjob.com
Grace	Female	1	0	2025-02-04	1745763502	is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	3	skalafatis@xx-holding.com
Sasha	Female	1	0	2025-02-06	7178654353	was being given away for free on a neighborhood site in Texas because a child in the home w	27	kbenimadho@newex.com
Nikki	Female	1	0	2025-02-11	1970001154	is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	50	asturiale@hottechi.com
Nala	Female	1	1	2025-02-12	7399996209	Hi I am 2 years old. I love long walks in the park and I can be a couch pot	46	bkarpel@plexzap.com
Chester	Unknown	1	0	2025-02-13		was rescued as a friendly girl from outside. She was found in a colony, but did not belong	67	mhagele@finjob.com
Lily	Female	1	0	2025-02-17	1773426644	This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	161	atawil@golddex.com
Elvis	Male	1	1	2025-02-18	1454179418	was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I	9	bkarpel@plexzap.com
Abby	Female	1	0	2025-02-18	1970809228	is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou	25	smadarang@zotware.com
Henry	Male	1	0	2025-02-18	1578817593	This sweet brindle boy with the crooked smile is Whopper. He's such a good boy - playful,	111	mhagele@finjob.com
Bella	Female	1	0	2025-02-21	690686898	Verde's story has a very sad beginning but I'm sure this girl gets her happy days ahead	119	mhagele@finjob.com
Loki	Male	1	0	2025-02-25	8314361550	is an energetic little fellow who loves exploring the outdoors, taking walks and even	115	mhagele@finjob.com
George	Male	1	0	2025-02-26	4578023180	was homeless and roaming the streets which eventually led to his being picked-up	114	skalafatis@xx-holding.com
Sasha	Female	0	0	2025-02-27	4753716432	was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon	96	alabreche@konex.com
Riley	Female	1	0	2025-03-11	9605716166	This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	143	skalafatis@xx-holding.com
Frankie	Male	0	0	2025-03-11	5472316011	was homeless and roaming the streets which eventually led to his being picked-up	78	skalafatis@xx-holding.com
Jake	Male	1	0	2025-03-11			80	bstimmel@hatfan.com
Kobe	Male	1	1	2025-03-13	1838271895	Our girl may look like a plain little black dog but she is anything but ordinary!  Th	87	kscriven@betasoloin.com
Jasmine	Female	1	0	2025-03-14	5222982601	is a sweetie pie! He's very laid back and gentle with people. He walks well on	23	ljillson@rangreen.com
Ellie	Female	1	0	2025-03-17	3227208213	is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo	41	ebayless@streethex.com
Dixie	Female	1	0	2025-03-19	9270645659	is a sweet girl who would love to be in a new home for the holidays! She is 3 years old	117	bstimmel@hatfan.com
Gizmo	Male	1	0	2025-03-19		Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	101	execdir@burdell.com
Cleo	Female	1	0	2025-03-21	4812801221	is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	47	shalter@treequote.com
Bailey	Female	1	0	2025-03-25		I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.	45	mrowling@finhigh.com
Maxwell	Unknown	1	1	2025-03-26	5451785505		76	mrowling@finhigh.com
Tango	Unknown	1	0	2025-03-27	7707735459	is an adorable little girl that is fostered with cats, dogs and kids. If interested please f	33	cfallick@zoomit.com
Rosie	Unknown	1	0	2025-03-28	1946252298	was found in rural Texas all alone outside of a residence one cold January nigh	41	bkarpel@plexzap.com
Lucy	Female	0	0	2025-03-31	7894058420	This adorable boy is Tango Barnwell.  He wou	42	fscheyer@cancity.com
