a_email	app_date	rejected_date
kdemesa@scottech.com	2024-06-04	2025-03-18
kstockham@zoomit.com	2024-07-04	2024-08-29
lbatman@newex.com	2023-10-17	2023-11-07
lbatman@newex.com	2024-06-28	2025-03-09
lfrankel@betatech.com	2024-10-24	2024-12-09
lhamilton@donware.com	2024-05-21	2025-03-30
lisaacs@scottech.com	2024-11-26	2024-12-26
lmallett@sonron.com	2023-10-19	2025-01-14
lmallett@sonron.com	2024-01-17	2024-10-06
lmallett@sonron.com	2024-05-10	2024-12-18
lmallett@sonron.com	2024-06-19	2024-07-10
lpinilla@condax.com	2024-02-16	2025-01-11
lpinilla@condax.com	2024-10-14	2025-03-03
lshinko@plussunin.com	2024-08-02	2024-08-13
lshinko@plussunin.com	2024-09-10	2024-11-21
lshinko@plussunin.com	2024-09-17	2025-03-25
lthreets@singletechno.com	2024-08-20	2024-11-13
lworlds@hottechi.com	2024-03-19	2025-02-16
lwrinkles@streethex.com	2024-06-27	2024-09-03
maquas@cancity.com	2024-11-15	2025-01-08
mchesterfield@plussunin.com	2024-04-29	2024-07-31
mclaucherty@zoomit.com	2024-04-08	2024-07-27
mclaucherty@zoomit.com	2024-08-09	2024-12-17
mmauson@zathunicon.com	2023-10-17	2024-04-01
mmauson@zathunicon.com	2024-01-30	2024-07-16
mmauson@zathunicon.com	2024-06-14	2024-11-14
mmauson@zathunicon.com	2024-06-18	2024-11-29
mpaa@zotware.com	2024-11-25	2025-03-19
mpalaspas@iselectrics.com	2024-03-14	2024-11-06
mpalaspas@iselectrics.com	2024-04-19	2024-08-29
mriden@finhigh.com	2023-10-11	2024-12-13
mvanheusen@conecom.com	2024-12-16	2025-02-15
mwenner@scotfind.com	2024-06-20	2024-10-19
mwenner@scotfind.com	2024-07-10	2024-09-03
mwenner@scotfind.com	2025-01-09	2025-02-07
ndelasancha@scotfind.com	2024-04-02	2024-11-10
nsuell@kinnamplus.com	2023-10-30	2024-01-18
ntagala@j-texon.com	2023-10-26	2024-12-27
ntagala@j-texon.com	2024-05-29	2025-02-28
qcantres@lexiqvolax.com	2024-10-30	2025-03-29
qcantres@lexiqvolax.com	2024-11-13	2024-12-17
rhoa@iselectrics.com	2023-10-04	2024-09-01
rhoa@iselectrics.com	2024-01-17	2025-03-17
rmonarrez@opentech.com	2024-04-10	2025-01-12
rslusarski@singletechno.com	2023-10-06	2024-01-25
rslusarski@singletechno.com	2024-05-29	2024-08-02
rslusarski@singletechno.com	2025-01-15	2025-02-27
scloney@konmatfix.com	2023-10-03	2024-08-07
scloney@konmatfix.com	2024-08-26	2024-09-06
sheintzman@blackzim.com	2024-07-22	2024-10-21
sheintzman@blackzim.com	2025-01-21	2025-01-22
ssaras@sumace.com	2024-01-18	2025-01-08
sshealy@statholdings.com	2023-10-24	2024-06-13
sshealy@statholdings.com	2023-11-03	2024-03-13
sshealy@statholdings.com	2024-04-24	2024-06-30
tasar@stanredtax.com	2023-11-17	2024-12-16
tbutt@blackzim.com	2024-05-16	2025-02-15
tbutt@blackzim.com	2024-06-17	2025-01-28
tbutt@blackzim.com	2025-02-18	2025-03-10
tdelasancha@warephase.com	2024-05-17	2025-02-09
tdelasancha@warephase.com	2024-10-31	2024-12-23
tfelger@j-texon.com	2024-01-26	2024-12-29
tfelger@j-texon.com	2024-08-30	2024-09-07
tharnos@donquadtech.com	2024-05-31	2025-03-17
tharnos@donquadtech.com	2024-11-01	2025-01-15
thoopengardner@conecom.com	2023-10-11	2025-03-09
thoopengardner@conecom.com	2024-03-13	2024-05-18
thoopengardner@conecom.com	2024-06-07	2025-03-12
thoopengardner@conecom.com	2025-01-24	2025-02-20
tkitzman@dambase.com	2024-05-14	2024-11-30
vdiestel@green-plus.com	2024-01-02	2024-11-12
vdiestel@green-plus.com	2024-04-16	2024-04-26
vdiestel@green-plus.com	2024-12-31	2025-02-25
wfelger@sumace.com	2024-11-18	2024-12-29
wfelger@sumace.com	2025-01-31	2025-03-22
wnestle@bioholding.com	2024-02-13	2025-03-14
wsimilton@xx-holding.com	2024-03-29	2024-07-31
xmcnease@groovestreet.com	2023-12-28	2024-12-05
zmyricks@isdom.com	2023-10-18	2025-02-27
