dog_id	dog_name	sex	alt_status	local_control	surrender_date	surrender_phone	description	age_months	microchip	microchip_manufacturer	email
20	Lilly	unknown	1	0	2023-12-12	6281357755	   is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha	60	8339886722	PawPrint ID	asturiale@hottechi.com
21	Coco	female	1	0	2023-12-15	9212256287		169	2529454180	CritterID Systems	ljillson@rangreen.com
22	Murphy	male	1	0	2023-12-18	4513185100	  was rescued after she gave birth under a house in rural Texas. She'd been living on the 	15	9239266970	CritterID Systems	bkarpel@plexzap.com
23	Lexie	unknown	1	0	2023-12-18	0778187593	   a beautiful Hound mix, 7 years old, and weighing 43 pounds.  	82	8381747323	AVID	ahoa@j-texon.com
24	Dixie	female	1	0	2023-12-19	6829605577	 This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	111	3205105152	AVID	mdiestel@hatfan.com
25	Zoey	female	1	1	2023-12-21	4472491399		77	8239525162	PawID Technologies	cfallick@zoomit.com
26	Coco	male	1	0	2023-12-25	0197857479	  was dumped at a mailbox in rural Texas; is a sweet shy girl  w	119	8125909463	PawID Technologies	asturiale@hottechi.com
27	Chase	male	1	1	2023-12-27	6219654658	  was found curled up in a shivering ball one frosty morning in the landscaping outside of a 	73	6401218324	CritterID Systems	shalter@treequote.com
28	Cleo	female	1	1	2023-12-28	7159023002	 is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	267	4778612876	HomeAgain	mdiestel@hatfan.com
29	Duke	male	1	0	2023-12-29	1029635526	" When her dad passed away in a tragic accident, she and her ""brother""  found themselv"	190	4196502473	24PetWatch	kbenimadho@newex.com
30	Rose	unknown	1	0	2024-01-02	7249519509	 is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	69	7795786303	24PetWatch	atawil@golddex.com
31	Bentley	male	1	0	2024-01-04	1265748998	  We are looking for a home for our dog . He was born in December of 2015	70	8853516222	AKC Reunite	bstimmel@hatfan.com
32	Buster	male	1	0	2024-01-08	7580291925		161	9983172300	PawID Technologies	mdiestel@hatfan.com
33	Kona	unknown	1	0	2024-01-10	0190608159	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	34	9165779760	PawID Technologies	kyum@goodsilron.com
34	Chester	male	1	0	2024-01-10	3682937167		72	7449562720	BarkCode Solutions	tcastros@hatfan.com
35	Felix	unknown	1	0	2024-01-11	8714238960	  is so smart and curious too.  She's becoming a TV binge watching c	218	1147578094	FurSecure ID	execdir@burdell.com
36	Bandit	male	1	0	2024-01-15	8359799807	   I'm an absolute awesome dog and I love all people. My foster says I have	81	3291378398	Trovan	smadarang@zotware.com
37	Olive	female	1	0	2024-01-17	9484756993	  is a 3-year-old Hound/lab mix who weighs 55 pounds. has been in the same foster home wit	60	7620928636	AKC Reunite	asturiale@hottechi.com
38	Jack	male	1	0	2024-01-18	2741973727	  a fun-loving energetic gir	55	3645333766	CritterID Systems	adinos@ganjaflex.com
39	Leo	male	1	0	2024-01-19	5463443545	 We don't know what happened to him before he arrived	102	2318914541	Trovan	shalter@treequote.com
40	Willow	female	1	0	2024-01-22	9442338603	   Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in	16	1866985520	PawTech Microchips	alabreche@konex.com
41	Coco	male	1	1	2024-01-29	3427869137	  is a loving, snuggly girl who loves long walks and going for car rides but she's als	38	4709506110	FurSecure ID	shalter@treequote.com
42	Ginger	female	1	0	2024-01-30	3172412491	  was being given away for free on a neighborhood site in Texas because a child in the home w	21	1089661605	AVID	mrowling@finhigh.com
43	Penny	female	1	0	2024-02-01			50	7266467037	BarkCode Solutions	shalter@treequote.com
44	Maggie	female	1	0	2024-02-06	1848166828	 he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled 	174	2058319606	FurSecure ID	atawil@golddex.com
45	Mac	male	1	0	2024-02-07	0682771502	  is a loving, snuggly girl who loves long walks and going for car rides but she's als	132	2847073139	PetSafe Chips	alabreche@konex.com
46	Gigi	female	1	0	2024-02-08	1468355737	  is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca	96	2492638644	24PetWatch	execdir@burdell.com
47	Max	male	1	0	2024-02-09	3562896738	 This gorgeous girl hails from Puerto Rico. She is a 3-year-old P	59	3353996393	FurTrack Microchips	mdiestel@hatfan.com
48	Gigi	female	1	0	2024-02-13	5370334038	 was found in rural Texas all alone outside of a residence one cold January nigh	11	5265638072	AVID	kbenimadho@newex.com
49	Pebbles	female	1	0	2024-02-14	1550733559	  He's approximately one to one and a half years old. He was rescued a few months	121	2426683780	Datamars	cfallick@zoomit.com
50	Heidi	female	1	0	2024-02-14	5954082315	  was rescued from euthanasia at a Texas shelter. She was a wonderful mama to her puppi	8	7294697421	PawPrint ID	fperigo@condax.com
51	Pebbles	female	1	0	2024-02-20	8909625137		99	2972323575	CritterID Systems	skalafatis@xx-holding.com
52	Tigger	unknown	1	0	2024-02-21	1668682153	  2 years old. If interested please fill out an application at EHRdogs.org  Click for more informati	53	6861960060	AKC Reunite	asturiale@hottechi.com
53	Penny	female	1	0	2024-02-26	5484274484	 was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi	155	2537142631	PawID Technologies	kyum@goodsilron.com
54	Harley	male	1	0	2024-02-27		 Meet a very sweet natured young pup. She is a Parvo survivor~ having spent a week 	69	4942322452	PetGuardian Chips	shalter@treequote.com
55	Louie	male	1	0	2024-02-27	6338381992	 This Southern Belle has traveled all the way from South Carolina to find her forever home here in 	64	0332172809	Destron Fearing	kscriven@betasoloin.com
56	Bubba	unknown	1	0	2024-02-28			22	8027222346	PetGuardian Chips	ebayless@streethex.com
57	Sampson	unknown	1	0	2024-02-29	3167612052	  beautiful dilute tortie. She was found pregnant and homeless.  She is an amazing 	85	4341243132	FurSecure ID	ebayless@streethex.com
58	Blue	male	1	0	2024-03-07	8887748376	 This gorgeous boy is a Saint Bernard mix. He is	248	5595717875	LifeChip	kyum@goodsilron.com
59	Bailey	male	1	0	2024-03-07	3863481285	 is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	80	3688716849	AKC Reunite	atawil@golddex.com
60	Mimi	female	1	0	2024-03-15	7716338158	  a big scruffy pup and devoted friend to those he trusts.  But trust takes tim	123	6571707711	AKC Reunite	adinos@ganjaflex.com
61	Belle	female	1	1	2024-03-20	5561776161	 Meet a handsome black Lab mix who's almost 5 years old	223	2997170831	Trovan	mrowling@finhigh.com
62	Abby	female	1	0	2024-03-21	7862009592	 is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	79	8756452956	PawPrint ID	ljillson@rangreen.com
63	Copper	male	1	0	2024-03-22	2346505762	 is such a doll! She was recently rescued from euthanasia in a Texas shelt	118	8061024433	AKC Reunite	lstaback@conecom.com
64	Jack	male	1	0	2024-04-04	9309013382	 is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused 	39	5067327188	HomeAgain	adinos@ganjaflex.com
65	Trixie	female	1	0	2024-04-04			101	1411487627	Trovan	mrowling@finhigh.com
66	Athena	female	1	1	2024-04-10	7587678111	 Meet a handsome black Lab mix who's almost 5 years old	237	2190857593	CritterID Systems	smadarang@zotware.com
67	Henry	male	1	0	2024-04-11		 Handsome and elegant - that's how they describe him; was found as a str	70	0809012530	HomeAgain	fperigo@condax.com
68	Benny	male	1	0	2024-04-12	4178881653		199	5063470616	Banfield TruPaws	cfallick@zoomit.com
69	Oreo	male	1	0	2024-04-12	6314918037	 is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	255	7291686631	FurSecure ID	cfallick@zoomit.com
70	Coco	female	1	0	2024-04-15	6596215803	   was rescued from a parking lot, very malnourished and scared. Rescuer got him healthy and re	106	2679603199	FurTrack Microchips	bkarpel@plexzap.com
71	Dexter	male	1	0	2024-04-19	1285927582	 is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen	14	5892815745	PetGuardian Chips	adinos@ganjaflex.com
72	Chico	male	1	0	2024-04-25			100	8010992064	Banfield TruPaws	atawil@golddex.com
73	Jake	male	1	0	2024-04-29		 is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you	65	2831229841	AVID	shalter@treequote.com
74	Jax	male	1	0	2024-05-02	5207998909		113	6039992982	FurTrack Microchips	mdiestel@hatfan.com
75	Max	male	1	0	2024-05-08	1252658431	 is a PRECIOUS little man!  He's so sweet and snuggly!   gets along w	140	8125809391	FurSecure ID	alabreche@konex.com
76	Riley	female	1	0	2024-05-10			23	9120431830	FurTrack Microchips	kyum@goodsilron.com
77	Honey	female	1	0	2024-05-14	1917333242	  was a service dog for an elderly man who recently passed away. Now this boy needs a new home	164	5912684397	Destron Fearing	mdiestel@hatfan.com
78	Bentley	male	1	1	2024-05-15	8438716284	 This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	55	8309138644	Datamars	lstaback@conecom.com
79	Bentley	male	1	1	2024-05-17	7231970417	 is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o	84	7033851827	PawID Technologies	mrowling@finhigh.com
80	Dexter	male	1	0	2024-05-20	5634545527		5	1130831365	FurryTag Systems	tcastros@hatfan.com
81	Murphy	male	1	0	2024-05-22	1263484754	    has the floppiest ears and the saddest eyes, but 	226	9761700980	FurSecure ID	cfallick@zoomit.com
82	Sandy	female	1	0	2024-05-22	1688633235	   is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who	43	5412783492	LifeChip	ebayless@streethex.com
83	Maya	female	1	0	2024-05-24		 This gorgeous boy is a Saint Bernard mix. He is	19	1732916332	HomeAgain	execdir@burdell.com
84	Oreo	male	1	1	2024-05-30	0948588407	   is a loving, young, playful bundle of joy & energy who would love to find herself 	50	5576709738	Banfield TruPaws	alabreche@konex.com
85	Trixie	female	1	0	2024-06-05	9176995551	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	200	2194823988	AKC Reunite	mdiestel@hatfan.com
86	Raven	unknown	1	0	2024-06-06	9311265900	 is a super sweet boxer/dane mix!  He came from a rural animal contro	129	1316245032	PetGuardian Chips	adinos@ganjaflex.com
87	Diesel	male	1	0	2024-06-07	6545393058		96	7570467284	Trovan	mrowling@finhigh.com
88	Henry	male	1	0	2024-06-10	1237969207		163	9485396635	PetGuardian Chips	bkarpel@plexzap.com
89	Joey	male	1	0	2024-06-11			71	9961958543	CritterID Systems	alabreche@konex.com
90	Winnie	female	1	0	2024-06-12	0851955222	 is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	29	1819689562	HomeAgain	asturiale@hottechi.com
91	Spooky	unknown	1	0	2024-06-13	1517859554		19	5533579321	LifeChip	fperigo@condax.com
92	Hunter	male	1	0	2024-06-17	5487152150	  is in foster and here's what her foster has to say: Meet the most lovable, frie	102	1343876546	Destron Fearing	ahoa@j-texon.com
93	Minnie	female	1	0	2024-06-19	9774792828		144	7359301660	PetGuardian Chips	kscriven@betasoloin.com
94	Zoey	unknown	1	0	2024-06-21	7649815235	  was saved from his terrible living conditions by a good Samaritan.  lived his entire life i	103	6964217795	PetGuardian Chips	skalafatis@xx-holding.com
95	Willow	female	1	0	2024-06-27		 is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	19	0372663232	FurTrack Microchips	bkarpel@plexzap.com
96	Kobe	unknown	1	0	2024-07-01	1891619148	  will require someone patient and skilled. He is very timid, but gentle. He is not 	50	5060861874	24PetWatch	ljillson@rangreen.com
97	Hank	male	1	0	2024-07-04	0716159467	 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	21	1208440959	LifeChip	fscheyer@cancity.com
98	Lady	unknown	1	0	2024-07-05		   is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who	148	5678884592	HomeAgain	asturiale@hottechi.com
99	Boomer	male	1	1	2024-07-15	1136743295	" When their dad passed away in a tragic accident, he and his ""sister""  "	59	4346932011	HomeAgain	execdir@burdell.com
100	Maddie	female	1	1	2024-07-17	4237295555	 was recently diagnosed with glaucoma and required surgery to remove both eyes. :( Consi	5	3021397699	FurSecure ID	kyum@goodsilron.com
101	Bear	unknown	1	0	2024-07-18		 wandered over to one of our volunteer's yards last January and she just cou	30	4413430241	HomeAgain	alabreche@konex.com
102	Gunner	male	1	0	2024-07-25	7675283312		184	4785912385	HomeAgain	mdiestel@hatfan.com
103	Oliver	male	1	0	2024-07-26	5990882480	 is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard	180	8134136343	AKC Reunite	mdiestel@hatfan.com
104	Mia	female	1	0	2024-07-30		 has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned 	34	0233083892	PawTech Microchips	ahoa@j-texon.com
105	Jasper	male	1	0	2024-07-30	8298443903	 Meet a handsome black Lab mix who's almost 5 years old	103	6719682995	Datamars	ljillson@rangreen.com
106	Casey	female	1	0	2024-07-31	7481249647	  a fun-loving energetic gir	97	7048348823	PetLink	alabreche@konex.com
107	Oreo	male	1	0	2024-08-01	5306618842		52	8101223643	AVID	tcastros@hatfan.com
108	Bailey	male	1	0	2024-08-01	8765857702	 is a sweet girl who was separated from her litter after having to have a lifesaving blood tr	47	5472231360	FurryTag Systems	fscheyer@cancity.com
109	Dakota	female	1	0	2024-08-02	9787416701	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	12	4351012073	FurTrack Microchips	mhagele@finjob.com
110	Gizmo	male	1	0	2024-08-02	8239922395	" When their dad passed away in a tragic accident, he and his ""sister""  "	9	4709487464	PetLink	atawil@golddex.com
111	Cali	female	1	1	2024-08-06	2172297799	  came to rescue in a starved state. Despite this, she has so much love to give. She g	9	0033938173	LifeChip	kyum@goodsilron.com
112	Max	male	1	0	2024-08-07	3559025306	 is a sweetie pie! He's very laid back and gentle with people. He walks well on 	39	8471672834	CritterID Systems	execdir@burdell.com
113	Blue	male	1	0	2024-08-08	5658811522	  I came from a shelter that euthanizes over a hundred animals a week. I turned on	38	1304728408	Destron Fearing	asturiale@hottechi.com
114	Milo	male	1	0	2024-08-09	3807333633		1	9536479638	Datamars	execdir@burdell.com
115	Peanut	unknown	1	0	2024-08-13	5843162671		9	4372662544	FurSecure ID	ljillson@rangreen.com
116	Bailey	female	1	0	2024-08-15	6122532609	 has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned 	159	1960321539	PawTech Microchips	execdir@burdell.com
117	Bo	male	1	0	2024-08-15	6194816577	  a fun-loving energetic gir	38	1969400219	24PetWatch	mhagele@finjob.com
118	Bentley	male	1	0	2024-08-16	2908104863	   was rescued from a parking lot, very malnourished and scared. Rescuer got him healthy and re	59	4133394504	FurSecure ID	lstaback@conecom.com
119	Maddie	female	1	0	2024-08-16	6298831837	  Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	257	9883546509	PetGuardian Chips	mhagele@finjob.com
120	Garfield	unknown	1	0	2024-08-20	4570617644	  was found with bite wounds that were infected. He is all recovered and a sweet boy. Bandit&	110	7277801255	AKC Reunite	skalafatis@xx-holding.com
121	Allie	female	1	0	2024-08-22	6782003864	  Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	43	9859051656	Banfield TruPaws	kscriven@betasoloin.com
122	Henry	male	1	0	2024-08-26	6404187029	 Meet a very sweet natured young pup. She is a Parvo survivor~ having spent a week 	21	1710335816	LifeChip	ahoa@j-texon.com
123	Maggie	female	1	0	2024-08-29	9775157216		165	1261649073	FurSecure ID	mrowling@finhigh.com
124	Piper	unknown	1	1	2024-09-06	4901874121	" If you're looking for a ""no brainer"", check out this girl. She is a really E"	154	7363571420	FurryTag Systems	adinos@ganjaflex.com
125	Tabby	unknown	1	0	2024-09-10	9960277111	 a Boxer mix puppy who will be arriving at 11th Hour Rescue. Bill	74	0604987191	PetGuardian Chips	bstimmel@hatfan.com
126	Jake	male	1	0	2024-09-10	2658000075	 LOVES toys and has been entertaining himself in his run. But it's so much nicer to see	78	6538826314	LifeChip	asturiale@hottechi.com
127	Brody	male	1	0	2024-09-20	0380991498	   is a 3 year old Lab mix who loves people.  She is currently living with 2 children	153	1777468792	AVID	asturiale@hottechi.com
128	Bubba	male	1	0	2024-09-23	4113944012	 From his foster mom: is an 8-month-old, 43 pound, Black Lab who spent his firs	244	1993284747	AKC Reunite	kbenimadho@newex.com
129	Dante	unknown	1	1	2024-09-26	2941154438		116	2984497911	Destron Fearing	adinos@ganjaflex.com
130	Bailey	female	1	0	2024-10-01	0118361779	 was found in rural Texas all alone outside of a residence one cold January nigh	80	2420119393	FurTrack Microchips	mdiestel@hatfan.com
131	Bubba	male	1	0	2024-10-03	6901239459	  was being given away for free on a neighborhood site in Texas because a child in the home w	106	8451154183	CritterID Systems	ahoa@j-texon.com
132	Macy	female	1	0	2024-10-03	5222533336	 This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	92	9187558952	24PetWatch	mrowling@finhigh.com
133	Socks	unknown	1	1	2024-10-07	1131502113	 is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day	8	3532712050	FurSecure ID	fperigo@condax.com
134	Marley	female	1	0	2024-10-10	4724260406	 was homeless and roaming the streets which eventually led to his being picked-up	47	9114546833	LifeChip	shalter@treequote.com
135	Leo	male	1	0	2024-10-14	4658352036		10	3673609784	Destron Fearing	spawlowicz@donware.com
136	Missy	female	1	1	2024-10-22	7618047809	   a beautiful Hound mix, 7 years old, and weighing 43 pounds.  	252	1459937907	PawPrint ID	ljillson@rangreen.com
137	Katie	female	1	0	2024-10-22	8979195195	 Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	25	3002149424	CritterID Systems	bkarpel@plexzap.com
138	Madison	female	1	0	2024-10-23	2442248268	  was dumped at a mailbox in rural Texas; is a sweet shy girl  w	86	7099914347	PawTech Microchips	smadarang@zotware.com
139	Sierra	female	1	1	2024-10-25	2392655702	  is a sweet girl who would love to be in a new home for the holidays! She is 3 years old 	77	7509276008	BarkCode Solutions	smadarang@zotware.com
140	Grace	female	1	0	2024-10-28	6365140350	  loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha	31	1440741152	FurTrack Microchips	cfallick@zoomit.com
141	Josie	female	1	1	2024-11-01	0404711029		118	1174566759	HomeAgain	mrowling@finhigh.com
142	Buster	male	1	0	2024-11-06	3361411794	 she was being given away in the back of a gas station in a rural Texas town when one of our	19	2686854006	FurryTag Systems	asturiale@hottechi.com
143	Brandy	female	1	0	2024-11-07	2170249372	 This adorable boy is Tango Barnwell.  He wou	216	6072863969	PawID Technologies	asturiale@hottechi.com
144	Bo	male	1	0	2024-11-13	2553286114		126	7432406137	Trovan	ahoa@j-texon.com
145	Max	unknown	1	0	2024-11-13	2522283917	   was surrendered to us because his elderly owner was no longer able to care for h	59	7632258714	PetLink	kyum@goodsilron.com
146	Sadie	female	1	0	2024-11-14	9950530607	  was dumped at a mailbox in rural Texas; is a sweet shy girl  w	9	1408833465	PawID Technologies	bstimmel@hatfan.com
147	Marley	male	1	1	2024-11-15	2953839888	   a German Shepherd Mix.  I'm a bit timid at first, but once I get 	113	1998282984	FurryTag Systems	skalafatis@xx-holding.com
148	Apollo	male	1	0	2024-11-22		  enjoys car rides and loves playing alon	64	2445630413	LifeChip	bstimmel@hatfan.com
149	Lady	female	1	0	2024-11-25	9522859006	 This beautiful girl found herself homeless just before the holidays and no	133	2251945177	CritterID Systems	shalter@treequote.com
150	Sophie	female	1	0	2024-12-06	0812627277		92	3594067559	PawID Technologies	execdir@burdell.com
151	Chico	male	1	0	2024-12-10	7903619325	 Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	63	2807195997	Trovan	fscheyer@cancity.com
152	Zoey	female	1	0	2024-12-11	0789872028		266	3637161001	LifeChip	fperigo@condax.com
153	Baby	unknown	1	0	2024-12-13	1628777738		32	1013710127	PawID Technologies	bstimmel@hatfan.com
154	Chloe	female	1	0	2024-12-13	1144780694	 Meet Louie, originally named Jellybean for his love of candy and sweet disposition. He was adopted	142	8401684414	Banfield TruPaws	fperigo@condax.com
155	Max	male	1	0	2024-12-17	4897907159	 was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon	150	8736172889	AKC Reunite	kyum@goodsilron.com
156	Mimi	female	1	1	2024-12-17	8144526342	  was a service dog for an elderly man who recently passed away. Now this boy needs a new home	262	6682888123	PawID Technologies	alabreche@konex.com
157	Baxter	male	1	0	2024-12-18	1298124314	 is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou	91	0499465406	BarkCode Solutions	shalter@treequote.com
158	Sadie	female	1	0	2024-12-30	1950631264		27	0531694695	Destron Fearing	cfallick@zoomit.com
159	Trixie	female	1	0	2025-01-02	2715518166	  was adopted as a puppy and recently returned after 2 y	115	9981888691	24PetWatch	bkarpel@plexzap.com
160	Lulu	female	1	0	2025-01-03	9995099910	  is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha	14	2385041790	FurryTag Systems	ebayless@streethex.com
161	Cash	male	1	0	2025-01-03	3190204569	 We don't know what happened to him before he arrived	67	2967937573	FurSecure ID	mrowling@finhigh.com
162	Louie	male	1	0	2025-01-06	1591287936	  is one of the most beautiful dogs you will ever meet.  She has a beautiful grey shiny 	53	9337294651	FurSecure ID	kbenimadho@newex.com
163	Marley	male	1	0	2025-01-07	5289507003		80	1037305511	AKC Reunite	alabreche@konex.com
164	Jasper	male	1	0	2025-01-07	3559284930	  We are looking for a home for our dog . He was born in December of 2015	28	1794980783	PawID Technologies	mdiestel@hatfan.com
165	Henry	male	1	0	2025-01-10	4414129817	  Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y	90	9369781096	PawPrint ID	execdir@burdell.com
166	Jack	male	1	0	2025-01-13	2677689195	 a Boxer mix puppy who will be arriving at 11th Hour Rescue. Bill	23	2383840969	PetLink	spawlowicz@donware.com
167	Bella	female	1	0	2025-01-15	0465412833	  We are looking for a home for our dog . He was born in December of 2015	42	7298421729	PetLink	mrowling@finhigh.com
168	Marley	male	1	0	2025-01-16	2995456514	 is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59	46	3676367986	HomeAgain	asturiale@hottechi.com
169	Holly	female	1	0	2025-01-16		  is a loving, snuggly girl who loves long walks and going for car rides but she's als	199	2951339432	HomeAgain	cfallick@zoomit.com
170	Macy	unknown	1	0	2025-01-17	2883904552	 is an energetic little fellow who loves exploring the outdoors, taking walks and even 	255	1875826038	Datamars	ahoa@j-texon.com
171	Heidi	female	1	1	2025-01-20	5739067359	 We don't know what happened to him before he arrived	31	7154224343	PawTech Microchips	kscriven@betasoloin.com
172	Chase	male	1	0	2025-01-20	2745182088	  a big scruffy pup and devoted friend to those he trusts.  But trust takes tim	42	0401378100	CritterID Systems	atawil@golddex.com
173	Frankie	male	1	0	2025-01-29	3832336693	" When their dad passed away in a tragic accident, he and his ""sister""  "	120	2391842171	24PetWatch	mrowling@finhigh.com
174	Dixie	female	1	0	2025-02-03		  is in foster and here's what her foster has to say: Meet the most lovable, frie	29	3259377569	PetGuardian Chips	fperigo@condax.com
175	Bella	unknown	1	0	2025-02-03		 is a senior boy, 11-12 years old, the life he led before being rescued was filled 	127	3725514884	AKC Reunite	kyum@goodsilron.com
176	Hazel	female	1	0	2025-02-03	1954371942		98	7983695402	CritterID Systems	bstimmel@hatfan.com
177	Lucky	male	1	0	2025-02-04	3642071656	  was a service dog for an elderly man who recently passed away. Now this boy needs a new home	78	6290584612	PawPrint ID	adinos@ganjaflex.com
178	Sally	female	1	0	2025-02-04	2762998195	  is a 1 year old Terrier mix! He is walks well on a leash and loves affection. He would prefer	50	7012285202	PawTech Microchips	ddegonia@finjob.com
179	Grace	female	1	0	2025-02-04	1745763502	 is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	3	7773850739	PawID Technologies	skalafatis@xx-holding.com
180	Sasha	female	1	0	2025-02-06	7178654353	  was being given away for free on a neighborhood site in Texas because a child in the home w	27	9622504873	PawID Technologies	kbenimadho@newex.com
181	Nikki	female	1	0	2025-02-11	1970001154	 is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do	50	5475953207	Destron Fearing	asturiale@hottechi.com
182	Nala	female	1	1	2025-02-12	7399996209	 Hi I am 2 years old. I love long walks in the park and I can be a couch pot	46	9295701587	PetSafe Chips	bkarpel@plexzap.com
183	Chester	unknown	1	0	2025-02-13		 was rescued as a friendly girl from outside. She was found in a colony, but did not belong	67	1066712611	PetSafe Chips	mhagele@finjob.com
184	Lily	female	1	0	2025-02-17	1773426644	 This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o	161	5568627741	FurSecure ID	atawil@golddex.com
185	Elvis	male	1	1	2025-02-18	1454179418	  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I	9	2195581790	PetGuardian Chips	bkarpel@plexzap.com
