dog_id	a_email	app_date	adoption_date
41	scloney@konmatfix.com	2024-02-22	2024-02-29
42	kdemesa@scottech.com	2023-11-22	2024-02-01
43	thoopengardner@conecom.com	2023-10-10	2024-03-11
44	pbevelacqua@iselectrics.com	2023-12-11	2024-02-15
45	mriden@finhigh.com	2023-11-07	2024-05-10
46	wsimilton@xx-holding.com	2024-01-01	2024-02-23
47	mpalaspas@iselectrics.com	2023-11-27	2024-02-28
48	lwrinkles@streethex.com	2024-01-18	2024-03-13
49	ebaltimore@singletechno.com	2023-11-23	2024-03-25
50	ajuhas@year-job.com	2023-11-21	2024-02-22
51	cgellinger@silis.com	2023-12-07	2024-04-22
52	tmirafuentes@statholdings.com	2023-11-14	2024-02-28
53	cvillanueva@isdom.com	2023-12-26	2024-02-27
54	lthreets@singletechno.com	2024-01-09	2024-03-13
55	pbevelacqua@iselectrics.com	2024-01-11	2024-03-27
56	kdemesa@scottech.com	2023-12-07	2024-03-14
57	mvanheusen@conecom.com	2023-11-16	2024-04-03
58	sshealy@statholdings.com	2023-10-19	2024-04-25
59	sgudroe@cancity.com	2024-01-17	2024-05-24
60	jyglesias@betasoloin.com	2024-02-27	2024-03-20
61	sheintzman@blackzim.com	2023-12-08	2024-04-01
62	vauffrey@groovestreet.com	2023-12-14	2024-03-22
63	asweigard@kinnamplus.com	2023-11-08	2024-04-09
64	yvonasek@yearin.com	2023-12-15	2024-04-05
65	scloney@konmatfix.com	2023-11-02	2024-04-15
66	bhamilton@kan-code.com	2024-02-08	2024-05-17
67	vdiestel@green-plus.com	2023-12-27	2024-05-07
68	rhoa@iselectrics.com	2023-12-12	2024-04-15
69	cvonasek@stanredtax.com	2023-11-24	2024-04-16
70	mmauson@zathunicon.com	2023-12-13	2024-04-29
71	cwenner@betatech.com	2024-03-05	2024-04-29
72	ssaras@sumace.com	2024-01-12	2024-06-11
73	zmyricks@isdom.com	2023-12-12	2024-04-30
74	blindall@gogozoom.com	2024-01-22	2024-05-03
75	gjurney@rantouch.com	2023-12-05	2024-06-06
76	eburnard@mathtouch.com	2023-11-06	2024-05-13
77	dhoffis@zotware.com	2024-03-25	2024-05-28
78	blindall@gogozoom.com	2023-10-31	2024-05-20
79	lthreets@singletechno.com	2024-02-08	2024-06-04
80	jkitty@nam-zim.com	2024-03-28	2024-07-25
81	sfeichtner@stanredtax.com	2023-10-30	2024-07-30
82	cshinko@scotfind.com	2024-04-15	2024-05-24
83	gcousey@groovestreet.com	2024-02-02	2024-05-27
84	thoopengardner@conecom.com	2023-11-06	2024-06-06
85	ffritz@zumgoity.com	2024-04-02	2024-06-24
86	chudnall@zoomit.com	2024-01-03	2024-06-07
87	tdelasancha@warephase.com	2024-02-19	2024-06-10
88	ecoyier@hatfan.com	2023-11-17	2024-07-16
89	scloney@konmatfix.com	2024-02-01	2024-06-12
90	tdelasancha@warephase.com	2024-04-16	2024-07-10
91	aradde@hottechi.com	2024-03-07	2024-07-12
92	lisaacs@scottech.com	2023-12-04	2024-07-23
93	mpalaspas@iselectrics.com	2023-12-20	2024-07-08
94	mchesterfield@plussunin.com	2024-01-15	2024-06-24
95	jyglesias@betasoloin.com	2024-05-20	2024-08-23
96	amai@openlane.com	2024-05-02	2024-07-02
97	bsamu@labdrill.com	2023-11-29	2024-07-08
98	lisaacs@scottech.com	2024-07-18	2024-07-24
99	fankeny@domzoom.com	2024-05-28	2024-07-31
100	nharnos@konex.com	2024-01-31	2024-07-29
101	wfelger@sumace.com	2024-05-22	2024-07-23
102	lisaacs@scottech.com	2024-01-08	2024-07-26
103	ecoyier@hatfan.com	2024-05-20	2024-08-22
104	nsuell@kinnamplus.com	2024-02-28	2024-09-16
105	ffritz@zumgoity.com	2023-11-16	2024-07-31
106	jcallaro@blackzim.com	2023-11-28	2025-01-10
107	apoullion@year-job.com	2024-04-04	2024-08-02
108	aradde@hottechi.com	2024-01-10	2024-08-05
109	cbenimadho@newex.com	2024-01-31	2024-08-05
110	scloney@konmatfix.com	2024-05-22	2024-08-05
111	tkitzman@dambase.com	2024-01-23	2024-08-26
112	gjurney@rantouch.com	2024-04-17	2024-08-14
113	hkardas@dambase.com	2023-11-24	2024-09-27
114	mgillaspie@cancity.com	2023-12-27	2024-08-12
115	darias@treequote.com	2023-10-12	2024-09-02
116	srowling@j-texon.com	2024-01-11	2024-09-09
117	lhamilton@donware.com	2024-06-18	2024-08-16
118	hkardas@dambase.com	2024-04-04	2024-08-30
119	aradde@hottechi.com	2024-05-09	2024-08-19
120	ttomasulo@dambase.com	2023-11-06	2024-08-21
121	amai@openlane.com	2024-04-11	2024-09-03
122	vkorando@rantouch.com	2024-07-24	2024-10-04
123	drulapaugh@mathtouch.com	2023-11-30	2024-08-30
124	ctheodorov@groovestreet.com	2024-03-12	2024-11-11
125	lmonarrez@doncon.com	2023-12-01	2024-09-11
126	ttomasulo@dambase.com	2023-11-15	2024-12-09
127	omulqueen@donware.com	2024-04-18	2024-09-23
128	asweigard@kinnamplus.com	2024-03-22	2024-09-26
129	cslayton@openlane.com	2023-10-25	2024-09-27
130	tdelasancha@warephase.com	2024-03-27	2024-10-15
131	gcousey@groovestreet.com	2023-12-21	2024-11-05
132	ssaras@sumace.com	2024-04-25	2024-11-19
133	fshinko@inity.com	2023-10-12	2024-10-08
134	cshinko@scotfind.com	2024-03-08	2024-11-07
135	sheintzman@blackzim.com	2024-02-15	2024-10-15
136	cauffrey@lexiqvolax.com	2024-08-19	2024-10-23
137	lgillaspie@zencorporation.com	2023-12-05	2024-10-25
138	tfelger@j-texon.com	2024-03-07	2024-10-24
139	hmartabano@fasehatice.com	2024-04-01	2024-10-30
140	yvonasek@yearin.com	2024-02-16	2025-01-15
141	cvonasek@stanredtax.com	2024-03-13	2024-11-21
142	sheintzman@blackzim.com	2024-08-27	2024-11-07
143	ffelger@plusstrip.com	2023-11-28	2024-11-15
144	qcantres@lexiqvolax.com	2024-04-19	2024-11-18
145	lgillaspie@zencorporation.com	2024-06-13	2024-11-14
146	mriden@finhigh.com	2024-05-10	2024-11-22
147	tharnos@donquadtech.com	2023-11-13	2024-12-25
148	cvillanueva@isdom.com	2024-07-12	2025-01-16
149	hmartabano@fasehatice.com	2024-03-27	2024-12-02
150	rslusarski@singletechno.com	2023-11-01	2025-01-07
151	hhellickson@isdom.com	2024-04-12	2024-12-23
152	gcousey@groovestreet.com	2023-11-08	2024-12-18
153	dstaback@warephase.com	2024-05-21	2024-12-24
154	wfelger@sumace.com	2024-06-21	2025-01-10
155	avillanueva@funholding.com	2024-09-16	2025-01-02
156	gschnitzler@ron-tech.com	2024-09-03	2024-12-18
157	snachor@xx-holding.com	2024-06-03	2024-12-20
158	esergi@cancity.com	2023-11-27	2024-12-31
159	lhamilton@donware.com	2024-03-20	2025-02-03
160	wfelger@sumace.com	2024-09-25	2025-01-06
161	jkusko@bioplex.com	2024-08-13	2025-01-13
162	qcantres@lexiqvolax.com	2024-03-01	2025-02-13
163	gcousey@groovestreet.com	2024-11-06	2025-01-20
164	eburnard@mathtouch.com	2024-05-14	2025-01-27
165	lworlds@hottechi.com	2024-07-11	2025-01-13
166	ffritz@zumgoity.com	2024-03-18	2025-01-14
167	tmirafuentes@statholdings.com	2024-05-16	2025-01-24
168	vdiestel@green-plus.com	2024-02-21	2025-01-17
169	teroman@iselectrics.com	2024-10-24	2025-01-17
170	kcaiafa@ganjaflex.com	2024-04-10	2025-01-31
171	thoopengardner@conecom.com	2023-12-08	2025-01-21
172	imcnease@j-texon.com	2024-03-12	2025-01-21
173	mvanheusen@conecom.com	2024-08-15	2025-01-30
174	hvocelka@yearin.com	2024-05-27	2025-02-20
175	ssaras@sumace.com	2024-12-05	2025-02-06
176	akampa@zumgoity.com	2024-01-17	2025-02-04
177	aradde@hottechi.com	2024-09-17	2025-02-10
178	ebaltimore@singletechno.com	2024-06-07	2025-02-05
179	mwenner@scotfind.com	2024-04-01	2025-02-05
180	drulapaugh@mathtouch.com	2024-02-01	2025-02-07
181	mpaa@zotware.com	2024-09-03	2025-02-12
182	tsawchuk@condax.com	2024-06-05	2025-02-19
183	scloney@konmatfix.com	2024-08-09	2025-03-06
184	ecanlas@conecom.com	2024-07-26	2025-03-17
185	mpaa@zotware.com	2024-02-16	2025-02-19
186	ajuhas@year-job.com	2024-02-12	2025-02-19
188	bsamu@labdrill.com	2024-09-13	2025-02-26
189	tpalaspas@hatfan.com	2024-07-24	2025-02-26
192	asweigard@kinnamplus.com	2024-05-07	2025-03-24
195	rmonarrez@opentech.com	2024-11-12	2025-03-14
196	cslayton@openlane.com	2024-06-25	2025-03-20
198	sheintzman@blackzim.com	2024-11-26	2025-03-20
199	tasar@stanredtax.com	2024-08-20	2025-03-27
202	jyglesias@xx-zobam.com	2024-04-22	2025-03-28
203	mclaucherty@zoomit.com	2024-05-20	2025-03-28
204	jleinenbach@singletechno.com	2024-09-12	2025-03-31
