a_email	a_f_name	a_l_name	a_street_addr	a_city	a_state	a_postal_code	a_phone	a_house_size	app_date	IsApproved	IsRejected	approved_date	rejected_date
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2023-12-29	0	1		2024-11-18
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-01-15	1	0	2024-09-21	
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-01-17	1	0	2025-01-25	
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-02-14	0	1		2024-04-14
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-03-20	1	0	2024-12-22	
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-10-07	1	0	2024-12-06	
akampa@zumgoity.com	Alecia	Kampa	5815 16-street	Stockton	OH	20038	4656996752	3	2024-10-25	0	0		
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2023-10-13	1	0	2023-12-08	
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2024-04-11	1	0	2024-05-22	
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2024-05-02	1	0	2024-06-10	
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2024-06-17	1	0	2024-09-29	
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2024-08-16	1	0	2024-12-14	
amai@openlane.com	Albina	Mai	6402 7-street	Irvine	NC	16724	3915729799	4	2024-12-20	0	0		
amirafuentes@inity.com	Arthur	Mirafuentes	7271 10-street	Baltimore	OK	82373	7246136902	3	2024-04-05	1	0	2024-05-26	
amirafuentes@inity.com	Arthur	Mirafuentes	7271 10-street	Baltimore	OK	82373	7246136902	3	2024-06-25	0	1		2025-02-17
amirafuentes@inity.com	Arthur	Mirafuentes	7271 10-street	Baltimore	OK	82373	7246136902	3	2024-11-26	1	0	2024-12-14	
apoullion@year-job.com	Aliza	Poullion	1018 7-street	Greensboro	NJ	25874	6133181891	3	2024-04-04	1	0	2024-05-03	
apoullion@year-job.com	Aliza	Poullion	1018 7-street	Greensboro	NJ	25874	6133181891	3	2024-06-11	1	0	2024-12-05	
apoullion@year-job.com	Aliza	Poullion	1018 7-street	Greensboro	NJ	25874	6133181891	3	2024-06-25	1	0	2025-02-18	
apoullion@year-job.com	Aliza	Poullion	1018 7-street	Greensboro	NJ	25874	6133181891	3	2024-11-15	0	1		2025-01-14
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-01-10	1	0	2024-05-09	
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-03-07	1	0	2024-06-20	
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-05-01	0	1		2024-06-04
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-05-09	1	0	2024-06-29	
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-08-06	0	1		2024-12-17
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-08-16	0	0		
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-09-17	1	0	2025-02-09	
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-09-27	1	0	2025-02-28	
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2024-12-12	0	0		
aradde@hottechi.com	Albina	Radde	3937 2-street	Boise City	VA	91253	8838940722	4	2025-01-30	1	0	2025-02-28	
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2024-03-04	1	0	2024-04-18	
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2024-04-04	1	0	2024-11-25	
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2024-08-13	0	1		2024-10-18
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2024-10-17	1	0	2025-01-21	
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2025-02-20	0	0		
asilvestrini@bioholding.com	Angella	Silvestrini	7135 16-street	Milwaukee	NM	16976	8941625714	3	2025-02-27	0	0		
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2023-11-08	1	0	2023-12-20	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-03-22	1	0	2024-05-21	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-05-06	1	0	2024-11-30	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-05-07	1	0	2024-09-16	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-05-15	1	0	2024-10-11	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-06-05	1	0	2024-09-25	
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-06-27	0	1		2025-01-26
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2024-09-02	0	0		
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2025-01-15	0	0		
asweigard@kinnamplus.com	Abel	Sweigard	5507 17-street	Madison	TX	37894	5792911269	4	2025-03-13	0	0		
avillanueva@funholding.com	Art	Villanueva	7144 4-street	Cincinnati	MN	59869	3106979904	4	2024-06-11	0	0		
avillanueva@funholding.com	Art	Villanueva	7144 4-street	Cincinnati	MN	59869	3106979904	4	2024-08-14	1	0	2024-10-30	
avillanueva@funholding.com	Art	Villanueva	7144 4-street	Cincinnati	MN	59869	3106979904	4	2024-09-16	1	0	2024-11-22	
avillanueva@funholding.com	Art	Villanueva	7144 4-street	Cincinnati	MN	59869	3106979904	4	2024-09-18	1	0	2024-11-09	
avillanueva@funholding.com	Art	Villanueva	7144 4-street	Cincinnati	MN	59869	3106979904	4	2024-12-13	0	0		
bcorbley@isdom.com	Barbra	Corbley	9719 5-street	Detroit	MI	02259	0508659064	4	2023-11-21	1	0	2024-01-04	
bcorbley@isdom.com	Barbra	Corbley	9719 5-street	Detroit	MI	02259	0508659064	4	2024-01-31	1	0	2024-08-15	
bcorbley@isdom.com	Barbra	Corbley	9719 5-street	Detroit	MI	02259	0508659064	4	2024-06-03	1	0	2024-08-10	
bcorbley@isdom.com	Barbra	Corbley	9719 5-street	Detroit	MI	02259	0508659064	4	2024-08-14	0	0		
bcorbley@isdom.com	Barbra	Corbley	9719 5-street	Detroit	MI	02259	0508659064	4	2024-10-08	0	0		
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2023-10-05	1	0	2023-10-07	
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-02-08	1	0	2024-05-06	
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-02-12	1	0	2024-10-17	
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-05-06	0	0		
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-06-26	1	0	2024-11-15	
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-08-07	0	1		2024-08-20
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-09-02	0	0		
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-10-07	1	0	2025-03-18	
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2024-12-03	0	0		
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2025-01-08	0	0		
bhamilton@kan-code.com	Benton	Hamilton	4044 6-street	Chesapeake	AZ	09268	9157430255	4	2025-03-04	0	0		
bkoppinger@kan-code.com	Benedict	Koppinger	9360 12-street	Albuquerque	AZ	54420	1122477649	4	2023-10-05	0	1		2023-11-29
bkoppinger@kan-code.com	Benedict	Koppinger	9360 12-street	Albuquerque	AZ	54420	1122477649	4	2024-05-23	0	1		2024-06-30
bkoppinger@kan-code.com	Benedict	Koppinger	9360 12-street	Albuquerque	AZ	54420	1122477649	4	2024-06-24	0	1		2024-08-05
bkoppinger@kan-code.com	Benedict	Koppinger	9360 12-street	Albuquerque	AZ	54420	1122477649	4	2024-09-09	1	0	2025-02-14	
bkoppinger@kan-code.com	Benedict	Koppinger	9360 12-street	Albuquerque	AZ	54420	1122477649	4	2024-10-28	0	0		
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2023-10-18	0	1		2024-12-21
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2023-10-31	1	0	2023-12-10	
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2023-12-14	1	0	2024-01-21	
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2024-01-22	1	0	2024-02-09	
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2024-03-21	1	0	2024-10-23	
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2024-05-08	0	1		2024-06-02
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2024-06-11	0	1		2024-08-15
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2024-08-06	1	0	2024-11-30	
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2025-01-02	0	1		2025-01-25
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2025-01-13	0	0		
blindall@gogozoom.com	Benton	Lindall	424 13-street	Las Vegas	WI	46779	4433941616	5	2025-01-23	1	0	2025-02-03	
bpatak@ganjaflex.com	Belen	Patak	279 21-street	Toledo	NC	47000	9556821151	4	2023-10-06	1	0	2023-10-20	
bpatak@ganjaflex.com	Belen	Patak	279 21-street	Toledo	NC	47000	9556821151	4	2024-03-22	0	1		2025-01-24
bpatak@ganjaflex.com	Belen	Patak	279 21-street	Toledo	NC	47000	9556821151	4	2024-10-30	1	0	2024-11-24	
bpatak@ganjaflex.com	Belen	Patak	279 21-street	Toledo	NC	47000	9556821151	4	2025-02-03	1	0	2025-03-15	
bpatak@ganjaflex.com	Belen	Patak	279 21-street	Toledo	NC	47000	9556821151	4	2025-02-04	1	0	2025-02-14	
bsamu@labdrill.com	Bernardine	Samu	1773 2-street	Albuquerque	AZ	05137	6249483813	1	2023-11-29	1	0	2023-12-12	
bsamu@labdrill.com	Bernardine	Samu	1773 2-street	Albuquerque	AZ	05137	6249483813	1	2024-02-23	0	1		2024-04-06
bsamu@labdrill.com	Bernardine	Samu	1773 2-street	Albuquerque	AZ	05137	6249483813	1	2024-05-02	0	1		2024-06-10
bsamu@labdrill.com	Bernardine	Samu	1773 2-street	Albuquerque	AZ	05137	6249483813	1	2024-09-10	0	1		2024-10-28
bsamu@labdrill.com	Bernardine	Samu	1773 2-street	Albuquerque	AZ	05137	6249483813	1	2024-09-13	1	0	2024-09-23	
cauffrey@lexiqvolax.com	Ceola	Auffrey	5021 12-street	Houston	TX	23964	2121773336	1	2024-03-25	0	0		
cauffrey@lexiqvolax.com	Ceola	Auffrey	5021 12-street	Houston	TX	23964	2121773336	1	2024-08-19	1	0	2024-09-18	
cauffrey@lexiqvolax.com	Ceola	Auffrey	5021 12-street	Houston	TX	23964	2121773336	1	2024-09-02	1	0	2024-10-02	
cauffrey@lexiqvolax.com	Ceola	Auffrey	5021 12-street	Houston	TX	23964	2121773336	1	2025-03-25	0	0		
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2023-10-24	1	0	2023-10-30	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2023-12-19	1	0	2025-02-13	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-01-24	1	0	2025-01-26	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-01-31	1	0	2024-03-09	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-02-19	1	0	2025-03-14	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-06-10	1	0	2024-10-30	
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-10-22	0	0		
cbenimadho@newex.com	Chauncey	Benimadho	9541 13-street	Jersey City	CA	21515	5214569084	4	2024-11-05	1	0	2025-03-27	
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2023-11-30	1	0	2023-12-06	
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2024-04-09	1	0	2025-03-12	
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2024-10-29	1	0	2024-12-25	
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2024-12-13	0	0		
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2025-01-21	1	0	2025-03-29	
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2025-01-27	0	0		
cbreland@sumace.com	Cherry	Breland	6821 18-street	Raleigh	FL	14584	9317802029	4	2025-02-13	0	0		
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2023-11-20	1	0	2024-12-13	
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2024-01-03	1	0	2024-11-10	
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2024-08-29	1	0	2024-10-06	
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2024-11-14	0	0		
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2025-01-13	0	0		
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2025-01-16	0	0		
ccanlas@labdrill.com	Caprice	Canlas	7044 16-street	Cleveland	KS	53850	6908583441	3	2025-02-06	0	0		
cgehrett@codehow.com	Colette	Gehrett	1116 4-street	Oakland	MN	58392	1056870207	4	2024-03-19	0	0		
cgehrett@codehow.com	Colette	Gehrett	1116 4-street	Oakland	MN	58392	1056870207	4	2025-02-11	0	0		
cgehrett@codehow.com	Colette	Gehrett	1116 4-street	Oakland	MN	58392	1056870207	4	2025-03-19	0	0		
cgellinger@silis.com	Carmela	Gellinger	5870 1-street	Henderson	NE	97682	3803135216	3	2023-10-17	0	1		2024-02-17
cgellinger@silis.com	Carmela	Gellinger	5870 1-street	Henderson	NE	97682	3803135216	3	2023-12-07	1	0	2024-04-12	
cgellinger@silis.com	Carmela	Gellinger	5870 1-street	Henderson	NE	97682	3803135216	3	2023-12-15	1	0	2024-03-29	
cgellinger@silis.com	Carmela	Gellinger	5870 1-street	Henderson	NE	97682	3803135216	3	2024-10-04	1	0	2025-01-31	
cgellinger@silis.com	Carmela	Gellinger	5870 1-street	Henderson	NE	97682	3803135216	3	2024-12-09	1	0	2024-12-31	
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2023-11-17	0	1		2023-11-29
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2024-01-03	1	0	2024-03-12	
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2024-04-09	1	0	2024-06-27	
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2024-07-09	1	0	2024-12-11	
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2024-10-16	0	0		
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2025-01-07	0	0		
chudnall@zoomit.com	Catalina	Hudnall	2178 2-street	Colorado Springs	NE	69936	0614167913	3	2025-01-31	1	0	2025-03-18	
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2023-11-14	1	0	2023-11-22	
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2024-01-16	0	1		2024-04-18
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2024-04-29	0	1		2025-03-19
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2024-08-28	1	0	2024-11-04	
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2024-10-09	0	0		
cpaskin@mathtouch.com	Caprice	Paskin	9653 15-street	Chula Vista	IN	26251	7447858316	3	2024-10-21	1	0	2024-11-26	
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2024-03-08	1	0	2024-04-28	
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2024-04-15	1	0	2024-05-17	
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2024-08-12	1	0	2024-11-01	
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2025-01-14	1	0	2025-03-09	
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2025-02-05	0	0		
cshinko@scotfind.com	Carmen	Shinko	8293 14-street	Boston	TN	79595	8174766788	5	2025-02-24	0	0		
cslayton@openlane.com	Cecil	Slayton	4847 16-street	Chicago	IL	93504	5269238933	3	2023-10-25	1	0	2024-06-08	
cslayton@openlane.com	Cecil	Slayton	4847 16-street	Chicago	IL	93504	5269238933	3	2024-03-21	1	0	2025-02-27	
cslayton@openlane.com	Cecil	Slayton	4847 16-street	Chicago	IL	93504	5269238933	3	2024-06-25	1	0	2024-11-27	
cslayton@openlane.com	Cecil	Slayton	4847 16-street	Chicago	IL	93504	5269238933	3	2024-11-22	1	0	2025-02-03	
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2024-03-12	1	0	2024-04-04	
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2024-06-24	1	0	2025-01-14	
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2024-10-10	0	0		
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2024-11-21	0	0		
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2025-01-01	0	0		
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2025-03-05	0	0		
ctheodorov@groovestreet.com	Chau	Theodorov	8223 19-street	Fort Wayne	FL	78627	0300408722	4	2025-03-20	0	0		
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2023-12-26	1	0	2024-01-04	
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-02-05	0	1		2025-01-15
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-02-19	0	1		2024-10-22
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-06-05	1	0	2025-02-03	
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-07-12	1	0	2024-11-05	
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-07-15	0	1		2024-08-21
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-08-20	1	0	2024-12-31	
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-09-25	1	0	2025-01-11	
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-12-06	0	0		
cvillanueva@isdom.com	Casie	Villanueva	143 6-street	Chula Vista	IN	33655	9687118467	1	2024-12-30	0	0		
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2023-11-24	1	0	2024-04-15	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-03-13	1	0	2024-09-12	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-07-22	1	0	2024-08-08	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-08-13	1	0	2025-02-09	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-08-26	1	0	2025-01-07	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-10-16	0	0		
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-10-30	1	0	2025-02-09	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-11-29	0	1		2024-12-10
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2024-12-25	1	0	2025-03-20	
cvonasek@stanredtax.com	Caprice	Vonasek	7931 7-street	Indianapolis	IN	99225	0454869267	4	2025-03-14	0	0		
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2024-01-01	1	0	2024-05-17	
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2024-01-04	0	1		2024-06-28
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2024-01-24	1	0	2024-04-30	
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2024-08-30	0	0		
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2024-12-27	0	0		
cwalthall@year-job.com	Cordelia	Walthall	8410 6-street	Jersey City	CA	15889	0757282507	5	2025-01-03	0	0		
cwenner@betatech.com	Cyril	Wenner	5232 12-street	Newark	TX	09638	3863943669	4	2023-10-05	0	1		2024-11-08
cwenner@betatech.com	Cyril	Wenner	5232 12-street	Newark	TX	09638	3863943669	4	2024-01-30	1	0	2024-10-21	
